"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"","","","hopelesglory","rfajar","0-1","","1062","1287","","","","","l_299114","              10 min","35","resignation"
"Amsterdam (Netherlands)","1980.??.??","?","Ree Hans (NED)","Unzicker Wolfgang (GER)","1/2-1/2","E12","2520","2510","","","","1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 5.a3 d5 6.cxd5 exd5 7.g3 Be7 8.Bg2 O-O 9.O-O Nbd7 10.Bf4 c6 11.b4 Re8 12.Qb3 Nf8 13.Rad1 Ng6 14.Be5 Ng4 15.h3 N4xe5 16.Nxe5 Nxe5 17.dxe5 Qc7 18.f4 Rad8 19.e3 a6 20.a4 b5 21.axb5 axb5 22.Ne2 Bf8 23.Nd4 Ra8 24.e4 Ra4 25.Nc2 dxe4 26.Bxe4 c5 27.Bxb7 Qxb7 28.bxc5 Bxc5+ 29.Kh2 Rc4 30.Rd2 Rc8 31.Ne3 Bxe3 32.Qxe3 Rc2 1/2-1/2')"">","o_299115","","",""
"","","","kanadibi","Satisfaction","1-0","","1270","1081","","","","","l_299115","              5 min","63","resignation"
"Amsterdam (Netherlands)","1980.??.??","?","Ree Hans (NED)","Van Wijgerden Cornelis (NED)","1/2-1/2","E08","2520","2435","","","","1.c4 e6 2.Nf3 d5 3.d4 Nf6 4.g3 Be7 5.Bg2 O-O 6.O-O c6 7.Qc2 Nbd7 8.b3 b5 9.c5 Ne4 10.Nbd2 f5 11.Bb2 Bf6 12.b4 a5 13.a3 a4 14.Ne1 Nxd2 15.Qxd2 e5 16.f4 e4 1/2-1/2')"">","o_299116","","",""
"","","","Jamup63","nikosomnia7","0-1","","621","825","","","","","l_299116","              1|5","26","time"
"Amsterdam (Netherlands)","1980.??.??","?","Rogoff Kenneth S (USA)","Borm Franciscus W M (NED)","1/2-1/2","A30","2520","2355","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 e6 4.g3 b6 5.Bg2 Bb7 6.O-O Be7 7.d4 cxd4 8.Qxd4 O-O 9.Rd1 d6 10.b3 Nbd7 11.Bb2 a6 12.e4 Qc7 13.Qe3 Rac8 14.Nd4 Rfe8 15.Qe2 Bf8 16.Re1 Qb8 17.Rad1 Ba8 18.Qd3 Red8 19.Qb1 Nc5 20.Re2 g6 21.Ba1 Bg7 22.a4 Qc7 23.Nc2 Ng4 24.h3 Nf6 25.Na3 Qe7 26.Kh2 Ncd7 27.Red2 Ne8 28.Ne2 Bxa1 29.Qxa1 Nc5 30.Qb1 a5 31.Nc3 Bc6 32.Nc2 e5 33.Ne3 Nc7 34.Ncd5 1/2-1/2')"">","o_299117","","",""
"Amsterdam (Netherlands)","1980.??.??","?","Rogoff Kenneth S (USA)","Hofland Leonard (NED)","1/2-1/2","B07","2520","2300","","","","1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bg5 h6 5.Be3 Ng4 6.Bc1 Bg7 7.f3 Nf6 8.Be3 c6 9.Qd2 Nbd7 10.Bd3 a6 11.a4 b6 12.Nge2 Bb7 13.O-O Qc7 14.Nd1 e5 15.c4 d5 16.cxd5 cxd5 17.Rc1 Qd8 18.Ndc3 exd4 19.Bxd4 dxe4 20.Nxe4 O-O 21.Nd6 Bd5 22.b4 1/2-1/2')"">","o_299118","","",""
"","","","tupsyturvy","vito146","1-0","","1511","1416","","","","","l_299118","              3 min","24","resignation"
"Amsterdam (Netherlands)","1980.??.??","?","Rogoff Kenneth S (USA)","Ligterink Gert (NED)","1/2-1/2","D32","2520","2455","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 Nc6 4.e3 d5 5.d4 e6 6.cxd5 exd5 7.Be2 cxd4 8.Nxd4 Bd6 9.O-O O-O 10.b3 Be5 11.Nxc6 bxc6 12.Bb2 Qd6 13.g3 Bh3 14.Re1 Rfe8 15.Bf3 Rad8 16.Rc1 c5 17.Ba3 Bxc3 18.Rxc3 d4 19.exd4 Qxd4 20.Rxe8+ Rxe8 21.Rc1 Ne4 22.Qe2 Re6 23.Bb2 Qb4 24.a3 Qb7 25.Rd1 h6 26.Qd3 Qe7 27.Qd8+ Qxd8 28.Rxd8+ Kh7 29.Bxe4+ Rxe4 30.Bc3 Re2 31.Rd1 Rc2 32.Be5 Ra2 33.Bd6 1/2-1/2')"">","o_299119","","",""
"","","","mwafrika","shoshin","0-1","","1629","1784","","","","","l_299119","              2|2","86","resignation"
"Amsterdam (Netherlands)","1980.??.??","6","Rogoff Kenneth S (USA)","Panno Oscar (ARG)","1/2-1/2","A29","2520","2540","","","","1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3 d5 5.cxd5 Nxd5 6.Bg2 Nb6 7.O-O Be7 8.a3 a5 9.d3 O-O 10.Be3 Be6 11.Na4 Nd5 12.Bc5 Bd6 13.Rc1 h6 14.d4 e4 15.Ne5 f5 16.Nxc6 bxc6 17.e3 Qd7 18.Qc2 Rab8 19.Ba7 Rb7 20.Nc5 Bxc5 21.Bxc5 Rfb8 22.Rb1 a4 23.Rfc1 Rb3 24.Bf1 Nf6 25.Bb4 Bd5 26.Bc4 1/2-1/2')"">","o_299120","","",""
"","","","Sturmgewehr","sellan","1-0","","1163","942","","","","","l_299120","              4 min","32","time"
"Amsterdam (Netherlands)","1980.??.??","?","Rogoff Kenneth S (USA)","Ree Hans (NED)","0-1","A39","2520","2520","","","","1.c4 g6 2.d4 Nf6 3.Nf3 Bg7 4.g3 O-O 5.Bg2 c5 6.O-O cxd4 7.Nxd4 Nc6 8.Nc3 Nxd4 9.Qxd4 d6 10.Qd3 a6 11.Bd2 Rb8 12.a4 a5 13.b3 Nd7 14.Rad1 Nc5 15.Qc2 Bd7 16.Nd5 Re8 17.Rfe1 b6 18.h4 Bf5 19.e4 Bg4 20.f3 Bd7 21.Be3 f5 22.h5 fxe4 23.hxg6 hxg6 24.fxe4 Bg4 25.Rd2 Nd7 26.Rf1 Ne5 27.Rdf2 Be6 28.Qe2 Qd7 29.Nf4 Bg4 30.Qd2 Kh7 31.Bh3 g5 32.Rh2 Kg8 33.Qg2 Rf8 34.Kf2 Bxh3 35.Qxh3 Qxh3 36.Rxh3 0-1')"">","o_299121","","",""
"Amsterdam (Netherlands)","1980.??.??","?","Rogoff Kenneth S (USA)","Van Wijgerden Cornelis (NED)","1/2-1/2","A42","2520","2435","","","","1.e4 g6 2.d4 Bg7 3.c4 d6 4.Nc3 f5 5.exf5 Bxf5 6.Nf3 Nh6 7.Be2 O-O 8.O-O Na6 9.Bg5 Qd7 10.Qd2 Nf7 11.Be3 Rae8 12.Rad1 Qc8 13.a3 e5 14.dxe5 Nxe5 15.Nxe5 Bxe5 16.b4 Nb8 17.Rfe1 Nc6 18.Bf1 Bg7 19.Bh6 Qd7 20.Bxg7 Qxg7 21.Nd5 Be6 22.Rc1 Qf7 23.Re3 1/2-1/2')"">","o_299122","","",""
"","","","cem1907bkk","rider1374","0-1","","1144","1146","","","","","l_299122","              20|10","31","game abandoned"
"Amsterdam (Netherlands)","1980.??.??","?","Smejkal Jan (CZE)","Bohm Hans (NED)","0-1","A07","2565","2430","","","","1.Nf3 Nf6 2.g3 d5 3.Bg2 c6 4.O-O Bf5 5.b3 Nbd7 6.Bb2 e6 7.d3 h6 8.Nbd2 Bh7 9.Qe1 Be7 10.e4 O-O 11.Qe2 a5 12.a4 Qb8 13.Kh1 Bb4 14.Nh4 b5 15.e5 Ne8 16.f4 Be7 17.f5 Bxh4 18.fxe6 fxe6 19.gxh4 Nc7 20.Nf3 c5 21.h5 Qd8 22.axb5 Nxb5 23.c4 Nc7 24.Bc3 Ra6 25.Rxa5 d4 26.Be1 Rb6 27.Ra3 Rb8 28.Ba5 Qc8 29.Nh4 Rxf1+ 30.Bxf1 Nf8 31.Bg2 Na6 32.Bd2 Nb4 33.Ra7 Nxd3 34.Kg1 Nd7 35.Qg4 N3xe5 36.Qxe6+ Kh8 37.Ng6+ Bxg6 38.hxg6 Qe8 39.Qxe8+ 0-1')"">","o_299123","","",""
"","","","MINEBENDER","LaMarina","1-0","","1106","1046","","","","","l_299123","              10 min","44","checkmate"
"Amsterdam (Netherlands)","1980.??.??","?","Smejkal Jan (CZE)","Langeweg Kick (NED)","1/2-1/2","A33","2565","2425","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 Nc6 4.d4 cxd4 5.Nxd4 e6 6.g3 Bc5 7.e3 d5 8.cxd5 exd5 9.Bg2 O-O 10.O-O Bg4 11.Nxc6 bxc6 12.Qc2 Rc8 13.b3 Re8 14.Bb2 Bf8 15.Rac1 Nd7 16.h3 Bh5 17.Ne2 Bg6 18.Qd2 Be4 19.Bxe4 Rxe4 20.Nd4 Nb8 21.Rc2 Qd7 22.Kg2 c5 23.Ne2 d4 24.exd4 Rce8 25.Qd3 Nc6 26.Rd2 Qb7 27.d5 Nb4 28.Qf3 Nxd5 29.Nc1 Nb6 30.Nd3 Qa6 31.Nf4 Re1 32.Rxe1 Rxe1 33.Nd3 Re8 34.Ne5 f6 35.Ng4 Re1 36.Ne3 Qxa2 37.Nc4 Qa6 38.Rd8 Nxc4 39.Qd5+ Qe6 40.bxc4 Qxd5+ 41.cxd5 Kf7 42.Ra8 Re7 43.Kf3 Rd7 44.Ke4 f5+ 45.Kxf5 Rxd5+ 46.Be5 Rd7 47.Ke4 Be7 48.f4 Bd8 49.f5 Bb6 50.g4 Rd8 51.Rxd8 Bxd8 52.Kd5 Be7 53.Bc3 Bf6 54.Bd2 Bd4 55.g5 Bf2 56.Kd6 h6 57.gxh6 gxh6 58.Bxh6 1/2-1/2')"">","o_299124","","",""
"","","","danidin","wawang_18","","","1169","1414","","","","","l_299124","              2 min","31","time"
"Amsterdam (Netherlands)","1980.??.??","?","Smejkal Jan (CZE)","Ree Hans (NED)","1/2-1/2","D61","2565","2520","","","","1.c4 e6 2.Nf3 d5 3.d4 Nf6 4.Bg5 Be7 5.Nc3 O-O 6.e3 Nbd7 7.Qc2 h6 8.h4 c5 9.O-O-O cxd4 10.Nxd4 Nb6 11.Kb1 Bd7 12.Bxf6 Bxf6 13.cxd5 Nxd5 14.Nxd5 exd5 15.g3 Rc8 16.Qb3 Qa5 17.Bb5 Bc6 18.Bxc6 bxc6 19.Rc1 Bxd4 20.exd4 Rfe8 1/2-1/2')"">","o_299125","","",""
"","","","Matubski","parvizghaderi1","1-0","","1616","1537","","","","","l_299125","              5 min","33","time"
"Amsterdam (Netherlands)","1980.??.??","4","Smejkal Jan (CZE)","Rogoff Kenneth S (USA)","0-1","A21","2565","2520","","","","1.c4 e5 2.Nc3 d6 3.d4 exd4 4.Qxd4 Nc6 5.Qd2 Nf6 6.g3 Be6 7.Nd5 Ne5 8.b3 Ne4 9.Qe3 Nc5 10.Bb2 c6 11.Nf4 Be7 12.Nxe6 Nxe6 13.Bh3 Bf6 14.Bxe6 fxe6 15.Nh3 O-O 16.O-O Qb6 17.Qe4 d5 18.Qc2 Rae8 19.Rad1 Ng4 20.Bxf6 Nxf6 21.Ng5 h6 22.Nf3 Ne4 23.Qb2 Rf6 24.Kg2 Ref8 25.Qd4 Qxd4 26.Rxd4 g5 27.h3 Kg7 28.g4 Rf4 29.cxd5 exd5 30.b4 Nc3 31.Rd2 Rxb4 32.Nd4 Kg6 33.Nf5 Re8 34.e3 a5 35.Rc1 Ne4 36.Rd4 Rb2 37.Ra4 Rxf2+ 38.Kg1 Rb2 39.Rxa5 Nf2 0-1')"">","o_299126","","",""
"Amsterdam (Netherlands)","1980.??.??","?","Smejkal Jan (CZE)","Sznapik Aleksander (POL)","1/2-1/2","E63","2565","2460","","","","1.Nf3 Nf6 2.c4 g6 3.d4 Bg7 4.g3 O-O 5.Bg2 d6 6.O-O Nc6 7.Nc3 a6 8.h3 Rb8 9.e4 Nd7 10.Bg5 Na5 11.b3 c5 12.Qd2 Nc6 13.d5 Nd4 14.Nxd4 Bxd4 15.Rac1 b5 16.cxb5 axb5 17.b4 Ne5 18.Ne2 Bxh3 19.Nxd4 cxd4 20.Qxd4 Bxg2 21.Kxg2 f6 22.Bh6 Re8 23.Bf4 Ra8 24.Bxe5 fxe5 25.Qd2 Rf8 26.Rc6 Ra3 27.Qe2 Qa8 28.Rc7 Qe8 29.Rfc1 Qf7 30.R1c3 Rfa8 31.Rc2 h5 32.R7c3 Kg7 33.Qxb5 h4 34.Qe2 hxg3 35.fxg3 Qf6 36.Qf3 Rxa2 37.Qxf6+ Kxf6 38.b5 Rxc2+ 39.Rxc2 Rb8 40.Rb2 Rb6 41.Kf3 e6 42.dxe6 Kxe6 43.Ke3 Kd7 44.Kf3 Ke6 45.Rb3 Ke7 46.Ke3 Kd7 47.Kf3 Ke6 48.Ke2 Kd7 49.Ke3 Rb8 50.Kf3 Rb6 51.Kg4 Ke6 52.Kf3 Kd7 53.Rb1 Ke6 54.Ke2 Kd7 55.Rb3 Rb8 56.Kd3 g5 57.Kc4 Rc8+ 58.Kb4 Rc1 59.Rc3 Rb1+ 60.Ka5 Ra1+ 61.Kb6 Ra4 62.Re3 d5 63.exd5 Kd6 64.Rb3 Ra8 65.Kb7 Re8 66.b6 e4 67.Ka7 e3 68.b7 e2 69.Rb1 Kxd5 70.b8Q Rxb8 71.Kxb8 Ke4 72.Kc7 Kf3 73.Kd6 Kxg3 74.Ke5 1/2-1/2')"">","o_299127","","",""
"Amsterdam (Netherlands)","1980.??.??","8","Smejkal Jan (CZE)","Unzicker Wolfgang (GER)","0-1","E05","2565","2510","","","","1.c4 e6 2.g3 Nf6 3.Bg2 d5 4.d4 dxc4 5.Nf3 Nbd7 6.Nbd2 Nb6 7.O-O Be7 8.Qc2 O-O 9.Nxc4 Nxc4 10.Qxc4 c6 11.Qc2 Qb6 12.Bd2 Bd7 13.Rfc1 Rac8 14.b4 Rfd8 15.Rab1 Be8 16.e4 h6 17.h3 Nd7 18.Bf4 Nf8 19.Rd1 Ng6 20.Be3 Qc7 21.a3 b6 22.Bf1 Qb7 23.Bd3 Nf8 24.Qe2 Qa8 25.Nd2 Nd7 26.Ba6 Rc7 27.Bf4 e5 28.dxe5 g5 29.Be3 Nxe5 30.f4 Ng6 31.Bc4 b5 32.Bb3 c5 33.Bd5 Bc6 34.Bxc5 gxf4 35.gxf4 Bxd5 36.exd5 Rxd5 37.Ne4 Rf5 38.Qg2 Qc6 39.Rf1 Bxc5+ 40.bxc5 Re7 41.Rbe1 Kf8 42.Re3 Nxf4 43.Qg4 Rxe4 44.Qxf5 Rxe3 45.Qxf4 Re7 46.Qd4 Re6 47.Rf4 Ke7 48.Qf2 Rg6+ 49.Rg4 Rxg4+ 50.hxg4 Qe4 51.Qh4+ Kd7 52.Qh5 Qe6 53.Kg2 Kc6 54.Kg3 a5 55.Qh1+ Kxc5 56.Qc1+ Kb6 57.Qg1+ Kb7 58.Qc5 Qc6 59.Qf8 Qc8 60.Qg7 Qe6 61.Qf8 Qe3+ 62.Kh4 Qf2+ 63.Kh3 Qf3+ 64.Kh4 Qf4 65.Kh3 b4 66.Qc5 Qf3+ 67.Kh4 Qf6+ 0-1')"">","o_299128","","",""
"","","","sureshleek","Rsilv1500","0-1","","962","892","","","","","l_299128","              15 min","5","resignation"
"Amsterdam (Netherlands)","1980.??.??","5","Sznapik Aleksander (POL)","Borm Franciscus W M (NED)","1-0","C95","2460","2355","","","","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Nb8 10.d4 Nbd7 11.Nbd2 Bb7 12.Bc2 Re8 13.a4 Bf8 14.b4 Nb6 15.a5 Nbd7 16.Bb2 g6 17.Qb1 Nh5 18.Qa2 c5 19.Rad1 Qc7 20.bxc5 dxc5 21.Nxe5 Nxe5 22.dxe5 Qxe5 23.c4 Qc7 24.Nf1 Rad8 25.Rxd8 Qxd8 26.cxb5 axb5 27.a6 Ba8 28.Ne3 c4 29.Ba1 Qb6 30.Rd1 Rd8 31.Rxd8 Qxd8 32.Bd1 Nf4 33.Bf3 Ne6 34.Nd5 Bg7 35.Bxg7 Nxg7 36.a7 Ne6 37.Qa1 Ng5 38.Qe5 Nxf3+ 39.gxf3 f5 40.Qb8 Qf8 41.Qxb5 fxe4 42.fxe4 Kg7 43.Qxc4 1-0')"">","o_299129","","",""
"","","","andreoli","LYC","0-1","","1904","1749","","","","","l_299129","              3|1","48","resignation"
"Amsterdam (Netherlands)","1980.??.??","10","Sznapik Aleksander (POL)","Hofland Leonard (NED)","1/2-1/2","B16","2460","2300","","","","1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6 6.c3 Bf5 7.Ne2 h5 8.Ng3 Bg6 9.h4 Nd7 10.Be2 Qa5 11.b4 Qc7 12.O-O e6 13.b5 cxb5 14.Bxb5 Bd6 15.Qf3 O-O-O 16.Bd2 a6 17.Be2 Rdg8 18.Rfc1 Ba3 19.Re1 Bc2 20.Bf4 e5 21.Bc1 Bd6 22.Nf5 Rg4 23.Nxd6+ Qxd6 24.Qh3 Rg6 25.Bd2 Rhg8 26.Bf1 Qd5 27.Rac1 Bf5 28.c4 Bxh3 29.cxd5+ Kb8 30.g3 Bxf1 31.Kxf1 Rg4 32.dxe5 Nxe5 33.Rcd1 Kc7 34.Bf4 Kd6 35.Rb1 b5 36.a4 Rb8 37.axb5 axb5 38.Ra1 Kxd5 39.Red1+ Ke6 40.Ra6+ Kf5 41.Rdd6 Rg6 42.Rdb6 Rxb6 43.Rxb6 Rg8 1/2-1/2')"">","o_299130","","",""
"","","","neilanshu","alex10alex","0-1","","1350","1426","","","","","l_299130","              7 min","16","resignation"
"Amsterdam (Netherlands)","1980.??.??","3","Sznapik Aleksander (POL)","Ligterink Gert (NED)","1/2-1/2","B33","2460","2455","","","","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 Be6 9.Nc4 Rc8 10.Bd3 Be7 11.O-O O-O 12.Ne3 Ng4 13.Bxe7 Nxe3 14.Bxd8 Nxd1 15.Rfxd1 Rfxd8 16.Rd2 Kf8 17.Rad1 Ke7 18.f3 g6 19.Kf2 Rc7 20.a3 Na5 21.Be2 Nc4 22.Bxc4 Rxc4 23.Rd3 Rc6 24.Ke3 1/2-1/2')"">","o_299131","","",""
"","","","krompz","Rude","0-1","","902","1087","","","","","c_299131","3 days","17","checkmate"
"","","","samyy","scott127398712","1-0","","1200","1148","","","","","l_299131","              8|10","20","resignation"
"Amsterdam (Netherlands)","1980.??.??","9","Sznapik Aleksander (POL)","Ree Hans (NED)","1/2-1/2","B85","2460","2520","","","","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 d6 6.Be2 Be7 7.O-O O-O 8.f4 Nc6 9.Be3 a6 10.Qe1 Bd7 11.Qg3 b5 12.a3 Nxd4 13.Bxd4 Bc6 14.Bd3 Qd7 15.Rae1 a5 16.e5 dxe5 17.Bxe5 g6 18.f5 Nh5 19.Qh3 exf5 20.Bxf5 Qb7 21.Be4 b4 22.Qf3 Bxe4 23.Nxe4 Qb6+ 24.Kh1 Rac8 25.axb4 axb4 26.c3 Qc6 27.cxb4 Bxb4 28.Rd1 f5 29.Rd4 Be7 30.Qb3+ Rf7 31.Nd6 Bxd6 32.Rxd6 Qc4 33.Rd8+ Rf8 34.Rxf8+ Kxf8 35.Bd6+ Kg8 36.Qxc4+ Rxc4 37.b4 Nf6 38.Rb1 Ne4 39.Be5 Nd2 40.Rd1 Rxb4 41.Bc3 Rb1 42.Rxb1 Nxb1 43.Bb4 Kf7 44.Kg1 Ke6 45.Kf2 Kd5 46.Kf3 Kc4 47.Ba5 Nc3 48.Bxc3 Kxc3 49.Kf4 Kd3 50.h4 Ke2 51.h5 gxh5 52.Kxf5 1/2-1/2')"">","o_299132","","",""
"","","","sahhobi","mallah","0-1","","1609","1579","","","","","l_299132","              1 min","30","time"
"Amsterdam (Netherlands)","1980.??.??","?","Sznapik Aleksander (POL)","Rogoff Kenneth S (USA)","1/2-1/2","C42","2460","2520","","","","1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Be7 7.O-O Nc6 8.c3 Bf5 9.Re1 O-O 10.Qc2 Bd6 11.Nbd2 Nxd2 12.Bxd2 Bxd3 13.Qxd3 Qd7 14.Ng5 g6 15.Nf3 a6 16.Bg5 Rfe8 1/2-1/2')"">","o_299133","","",""
"Amsterdam (Netherlands)","1980.??.??","1","Sznapik Aleksander (POL)","Van Wijgerden Cornelis (NED)","0-1","B09","2460","2435","","","","1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4 Nf6 5.Nf3 c5 6.dxc5 Qa5 7.Bd3 Qxc5 8.Qe2 Bg4 9.Be3 Qa5 10.O-O O-O 11.Qf2 Bxf3 12.Qxf3 Nc6 13.Kh1 Nb4 14.Rae1 Nxd3 15.cxd3 e6 16.Bc1 Nd7 17.f5 Rae8 18.Bf4 Qa6 19.Qg3 Nf6 20.Bg5 exf5 21.exf5 Rxe1 22.Rxe1 Qc6 23.Qh4 Re8 24.Rf1 Nd5 25.Ne4 Re5 26.fxg6 hxg6 27.Bh6 Bxh6 28.Qxh6 Rh5 29.Qd2 Qe8 30.h3 Qe5 31.Qc1 Kg7 32.Rf3 Ne7 33.Qc7 d5 34.Qxe5+ Rxe5 35.Nd6 f5 36.Nxb7 Re2 37.d4 Rxb2 38.Rb3 Rxb3 39.axb3 Nc6 40.Nd6 Nxd4 41.b4 Kf6 42.Nc8 Nb5 0-1')"">","o_299134","","",""
"Amsterdam (Netherlands)","1980.??.??","7","Unzicker Wolfgang (GER)","Borm Franciscus W M (NED)","1-0","C95","2510","2355","","","","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Nb8 10.d4 Nbd7 11.Nbd2 Bb7 12.Bc2 Re8 13.a4 Bf8 14.b3 d5 15.dxe5 Nxe4 16.Nxe4 dxe4 17.Bxe4 Bxe4 18.Rxe4 Nxe5 19.Bf4 Qxd1+ 20.Rxd1 Nxf3+ 21.gxf3 c5 22.Rxe8 Rxe8 23.Kf1 h6 24.Rd7 g5 25.Bd6 c4 26.Bxf8 Kxf8 27.axb5 cxb3 28.bxa6 Ra8 29.Rb7 Rxa6 30.Rxb3 Re6 31.Rb4 Ke7 32.Re4 Kd6 33.Rxe6+ Kxe6 34.Ke2 Kd5 35.Kd3 h5 36.f4 gxf4 37.h4 f3 38.c4+ Kc5 39.Kc3 Kc6 40.Kd4 Kd6 41.c5+ 1-0')"">","o_299135","","",""
"","","","xexu","kennonjones","1-0","","679","880","","","","","l_299135","              15|10","25","game abandoned"
"Amsterdam (Netherlands)","1980.??.??","5","Unzicker Wolfgang (GER)","Ligterink Gert (NED)","1-0","B64","2510","2455","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4 h6 10.Bh4 Bd7 11.Nf3 Qa5 12.Qe1 Rfc8 13.e5 dxe5 14.fxe5 Nb4 15.exf6 Rxc3 16.bxc3 Nxa2+ 17.Kd2 Bc5 18.Bd3 Nxc3 19.Ra1 Qb4 20.Qe5 Bc6 21.Be1 Bxf3 22.gxf3 Rd8 23.Kc1 Bd4 24.Qa5 Be3+ 25.Bd2 1-0')"">","o_299136","","",""
"","","","Imperatore","badrawi","draw","","1413","1447","","","","","l_299136","              5 min","30","resignation"
"Amsterdam (Netherlands)","1980.??.??","?","Unzicker Wolfgang (GER)","Rogoff Kenneth S (USA)","1/2-1/2","C43","2510","2520","","","","1.e4 e5 2.Nf3 Nf6 3.d4 Nxe4 4.Bd3 d5 5.Nxe5 Nd7 6.Qe2 Nxe5 7.Bxe4 dxe4 8.Qxe4 Be6 9.Qxe5 Qd7 10.Nc3 O-O-O 11.Be3 Bb4 12.O-O f6 13.Qf4 Bd6 14.Qf3 Bg4 15.Qd5 Bxh2+ 16.Kxh2 Qxd5 17.Nxd5 Rxd5 1/2-1/2')"">","o_299137","","",""
"","","","playpass","sufferd","0-1","","1325","1345","","","","","l_299137","              10 min","17","game abandoned"
"Amsterdam (Netherlands)","1980.??.??","11","Unzicker Wolfgang (GER)","Sznapik Aleksander (POL)","1/2-1/2","B83","2510","2460","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 Be7 7.O-O Nc6 8.Be3 O-O 9.f4 e5 10.Nb3 exf4 11.Bxf4 Be6 12.Kh1 d5 13.e5 Nd7 14.Nxd5 Ndxe5 15.Nxe7+ 1/2-1/2')"">","o_299138","","",""
"Amsterdam (Netherlands)","1980.??.??","3","Unzicker Wolfgang (GER)","Van Wijgerden Cornelis (NED)","1-0","B09","2510","2435","","","","1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4 Nf6 5.Nf3 c5 6.dxc5 Qa5 7.Bd3 Qxc5 8.Qe2 Bg4 9.Be3 Qa5 10.O-O O-O 11.h3 Bxf3 12.Qxf3 Nc6 13.a3 Nd7 14.Bd2 Qb6+ 15.Kh1 Nc5 16.Rab1 Nxd3 17.Qxd3 Rac8 18.Nd5 Qd4 19.Qe2 Qa4 20.Bc3 Bxc3 21.Nxc3 Qa5 22.Rfd1 a6 23.Nd5 Kg7 24.c3 e6 25.Ne3 Qc7 26.Rd3 Rfd8 27.Rbd1 Na5 28.Qf2 Qe7 29.f5 Nc4 30.Ng4 f6 31.fxe6 h5 32.Ne3 Nxe3 33.Qxe3 Qxe6 34.Qb6 Qxe4 35.Re3 Qa4 36.Re7+ Kg8 37.Qxb7 Qxd1+ 38.Kh2 1-0')"">","o_299139","","",""
"","","","NoMisteaks","marshal","1-0","","1342","1469","","","","","l_299139","              10 min","22","time"
"Amsterdam (Netherlands)","1980.??.??","?","Van Wijgerden Cornelis (NED)","Bohm Hans (NED)","1/2-1/2","D13","2435","2430","","","","1.c4 c6 2.d4 d5 3.cxd5 cxd5 4.Nc3 Nf6 5.Nf3 Nc6 6.Bf4 e6 7.e3 Bd6 8.Bg3 O-O 9.Bd3 Re8 10.Ne5 Bxe5 11.dxe5 Nd7 12.f4 Nc5 13.Bb1 b6 14.Nb5 Ba6 15.Nd6 Nb4 16.Bxh7+ Kxh7 17.Qh5+ Kg8 18.Qxf7+ Kh7 19.Qh5+ Kg8 1/2-1/2')"">","o_299140","","",""
"","","","rbrown","Massaho","1-0","","1123","707","","","","","l_299140","              2|12","29","checkmate"
"Amsterdam (Netherlands)","1980.??.??","2","Van Wijgerden Cornelis (NED)","Hofland Leonard (NED)","1/2-1/2","B13","2435","2300","","","","1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.Bf4 Qb6 7.Qb3 Qxb3 8.axb3 Bg4 9.b4 e6 10.b5 Ne7 11.b6 a6 12.Na3 Nc6 1/2-1/2')"">","o_299141","","",""
"","","","zanmi","leahrose","1-0","","1568","1641","","","","","l_299141","              5 min","16","checkmate"
