"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"","","","harrylee1","rachitmohta11","0-1","","1018","1086","","","","","l_299005","              15|10","36","game abandoned"
"Abano Terme (Italy)","1980.??.??","9","Huebner Robert Dr (GER)","Portisch Lajos (HUN)","1-0","B82","2600","2655","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be3 e6 7.f4 b5 8.Qf3 Bb7 9.Bd3 Nbd7 10.g4 Nc5 11.g5 b4 12.gxf6 bxc3 13.fxg7 Bxg7 14.bxc3 Qc7 15.Rb1 O-O-O 16.Ke2 Rhe8 17.Rhg1 Bh8 18.f5 e5 19.Nb3 Nxe4 20.Bxe4 Qc4+ 21.Kd2 Bxe4 22.Qf2 Kd7 23.Bb6 Rb8 24.Kc1 Ba8 25.Nd2 Qa4 26.f6 Bd5 27.c4 Bxc4 28.Rg4 Qa3+ 29.Rb2 Be6 30.Nc4 Qh3 31.Nxe5+ dxe5 32.Rd4+ Bd5 33.Rxd5+ Ke6 34.Rc5 Qh6+ 35.Kb1 Qf4 36.Rc6+ Kf5 37.Qe2 h6 38.Rb3 Kg6 39.Rf3 Qd4 40.Rb3 Qd5 1-0')"">","o_299006","","",""
"","","","d_daimon","poeticone","","","1567","1603","","","","","l_299006","              15 min","28","resignation"
"Abano Terme (Italy)","1980.??.??","11","Huebner Robert Dr (GER)","Portisch Lajos (HUN)","1/2-1/2","A33","2600","2655","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 Nc6 4.d4 cxd4 5.Nxd4 e6 6.Ndb5 d5 7.cxd5 Nxd5 8.e4 Nxc3 9.Qxd8+ Kxd8 10.Nxc3 Bc5 11.Bb5 Bd7 12.Bxc6 Bxc6 13.Ke2 Ke7 14.Be3 Bd6 15.Rhd1 b5 16.Rac1 Rhc8 17.f3 Bxh2 18.Rh1 Bd6 19.Rxh7 b4 20.Nd1 Bb5+ 21.Kf2 Rxc1 22.Bxc1 Rc8 23.Bg5+ Kd7 24.f4 Rc2+ 25.Kg3 Bf8 26.f5 exf5 27.exf5 Bd3 28.Rh8 Bd6+ 29.Bf4 Bc5 30.Be3 Bxe3 31.Nxe3 Rxb2 32.Rf8 Rxa2 33.Rxf7+ Kd6 34.Rb7 a5 35.Kf3 Ra3 36.g4 b3 37.g5 Kc6 38.f6 gxf6 39.gxf6 Bg6 40.Rb8 Kc7 41.Rb5 a4 42.Nc4 Ra1 43.Ke2 a3 44.Rxb3 a2 45.Ra3 Bh5+ 46.Kf2 Rh1 47.Ra7+ Kb8 48.Rxa2 Rh2+ 49.Kg3 Rxa2 50.Ne5 Kc7 51.f7 Ra8 52.Kh4 Rh8 53.Kg5 Kd6 54.Kf6 1/2-1/2')"">","o_299007","","",""
"","","","Burlings","BalaMondO","1-0","","1303","1068","","","","","l_299007","              10 min","38","resignation"
"Abano Terme (Italy)","1980.??.??","2","Portisch Lajos (HUN)","Huebner Robert Dr (GER)","1/2-1/2","A29","2655","2600","","","","1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 Nd4 5.Bg2 Nxf3+ 6.Bxf3 Bb4 7.Qb3 Bc5 8.d3 O-O 9.O-O c6 10.Bg2 Re8 11.Bd2 Bb6 12.Qc2 h6 13.Na4 Bc7 14.Rac1 d6 15.b4 Bd7 16.Nc3 Qc8 17.Rfe1 Bh3 18.Bh1 a6 19.a4 a5 20.Rb1 axb4 21.Rxb4 Ba5 22.Rb2 Qc7 23.Reb1 Reb8 24.Ra1 Nd7 25.Ne4 Bf5 26.Be3 Ra6 27.Bf3 Bxe4 28.Bxe4 Bb6 29.Bxb6 Nxb6 30.e3 Rba8 31.Rb5 R8a7 32.d4 Nd7 33.Qd1 exd4 34.exd4 Rb6 35.Rxb6 Nxb6 36.Bc2 Nd7 37.Qe2 Nf6 38.Re1 Kf8 39.Qd2 1/2-1/2')"">","o_299008","","",""
"","","","rdydmy","babbage","1-0","","1574","1692","","","","","l_299008","              1 min","45","time"
"Abano Terme (Italy)","1980.??.??","4","Portisch Lajos (HUN)","Huebner Robert Dr (GER)","1/2-1/2","D41","2655","2600","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 e6 4.g3 Nc6 5.Bg2 d5 6.cxd5 Nxd5 7.O-O Be7 8.d4 O-O 9.e4 Nxc3 10.bxc3 cxd4 11.cxd4 Bf6 12.Be3 b6 13.Qa4 Bd7 14.Qa3 Rc8 15.Rac1 Na5 16.Qd3 Bc6 17.Rfd1 Qd7 18.d5 exd5 19.exd5 Bb5 20.Qb1 Rxc1 21.Rxc1 Bc4 22.Rd1 Qa4 23.Ng5 g6 24.Ne4 Bg7 25.Rd2 Bb5 26.Nd6 Bd7 27.Bf4 Nc4 28.Nxc4 Qxc4 29.Rc2 Qd3 30.Qc1 Bf5 31.Rc7 Re8 32.h3 Bd4 33.Qd2 Qxd2 34.Bxd2 h5 35.Bg5 Re2 36.Be3 Bxe3 37.fxe3 Rxe3 38.Kf2 Ra3 39.g4 hxg4 40.hxg4 Rxa2+ 41.Ke3 Ra3+ 42.Kf2 Ra2+ 43.Kg3 Bb1 44.d6 Rd2 45.d7 Kf8 46.Bc6 Ke7 47.Rxa7 Rd6 48.Ra8 1/2-1/2')"">","o_299009","","",""
"","","","florian38","ricgarancho","0-1","","1667","1688","","","","","l_299009","              3 min","59","resignation"
"Abano Terme (Italy)","1980.??.??","6","Portisch Lajos (HUN)","Huebner Robert Dr (GER)","1/2-1/2","E12","2655","2600","","","","1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.a3 Be7 5.Nc3 d5 6.cxd5 exd5 7.Bf4 O-O 8.e3 c5 9.Ne5 Bb7 10.Be2 Nc6 11.O-O Rc8 12.dxc5 bxc5 13.Bf3 Bd6 14.Nd3 Ba6 15.Bg5 d4 16.Nd5 Ne5 17.Bxf6 gxf6 18.Be4 Bxd3 19.Bxd3 Nxd3 20.Qxd3 Bxh2+ 21.Kxh2 Qxd5 22.exd4 Qxd4 23.Qxd4 cxd4 24.Rac1 d3 25.Rfd1 Rxc1 26.Rxc1 Rb8 27.b4 d2 28.Rd1 Rd8 29.Kg1 Rd3 30.Kf1 Rxa3 1/2-1/2')"">","o_299010","","",""
