"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"","","","MakedonKutles","birdgoword","1-0","","1310","1010","","","","","l_194007","              3|5","8","checkmate"
"Groningen (Netherlands)","1971.12.??","7","Cruz Jorge Filipe Egas Da (POR)","Ireton Tom","1-0","E66","2014","0","","","","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.g3 d6 5.Bg2 O-O 6.Nf3 Nc6 7.d5 Na5 8.Qd3 c5 9.O-O a6 10.Rb1 b5 11.Nd2 bxc4 12.Nxc4 Nxc4 13.Qxc4 Rb8 14.b4 cxb4 15.Rxb4 Rxb4 16.Qxb4 Qc7 17.Bd2 Nd7 18.Rc1 Qb7 19.Na4 Qxb4 20.Bxb4 Bd4 21.e3 Ba7 22.a3 Re8 23.Nb2 Nc5 24.Rc3 Bd7 25.Bf1 Rb8 26.Nd3 Bf5 27.Bxc5 Bxc5 28.Nxc5 dxc5 29.Rxc5 Be4 30.Rc1 Bxd5 31.Bxa6 Ra8 32.Rc8+ Rxc8 33.Bxc8 Bc6 34.Kf1 Kf8 35.Ke2 Ke8 36.Kd3 Kd8 37.Ba6 Kc7 38.Bc4 e6 39.Bb3 Kd6 40.Kd4 e5+ 41.Kc3 f5 42.Kb4 g5 43.Bc2 e4 44.Kc4 Ke5 45.Kc5 Ba8 46.a4 h5 47.a5 f4 48.a6 Kf5 49.Ba4 Kg4 50.Bc6 Kf3 51.Bxa8 Kxf2 52.gxf4 gxf4 53.Bxe4 fxe3 54.Bd3 1-0')"">","o_194008","","",""
"Groningen (Netherlands)","1971.12.??","6","Cruz Jorge Filipe Egas Da (POR)","Luminet Denis (BEL)","1-0","E30","2014","2236","","","","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Bg5 h6 5.Bh4 c5 6.e3 O-O 7.Bd3 Bxc3+ 8.bxc3 d6 9.Nf3 Qe7 10.Nd2 e5 11.O-O b6 12.Bxf6 gxf6 13.Qf3 Bd7 14.Be4 1-0')"">","o_194009","","",""
"","","","DeepFish","I_M_Nameless","","","1628","1474","","","","","l_194009","              1 min","29","time"
"Groningen (Netherlands)","1971.12.??","2","Cruz Jorge Filipe Egas Da (POR)","Scheichel Herbert (AUT)","1/2-1/2","E77","2014","2320","","","","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 O-O 6.f4 c5 7.d5 e6 8.Nf3 exd5 9.exd5 Re8 10.O-O Bf5 11.Bd3 Qd7 12.Qc2 Na6 13.a3 Nc7 14.Bd2 b5 15.b3 Rab8 16.Rab1 a6 17.Rfe1 Rxe1+ 18.Rxe1 Bxd3 19.Qxd3 Re8 1/2-1/2')"">","o_194010","","",""
"","","","Popa83","Computer1-EASY","","","1567","1486","","","","","l_194010","              2|1","28","time"
"Groningen (Netherlands)","1971.12.??","1","Dieks Roy G (NED)","Gorchakov Alexander","0-1","D38","2265","0","","","","1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Bg5 Bb4+ 5.Nc3 h6 6.Bh4 dxc4 7.Qa4+ Nc6 8.a3 Bxc3+ 9.bxc3 Qd5 10.Nd2 Qa5 11.Qxa5 Nxa5 12.Bxf6 gxf6 13.e3 b5 14.a4 a6 15.axb5 axb5 16.Bxc4 bxc4 17.Nxc4 Nxc4 18.Rxa8 Kd7 19.O-O Re8 20.Rb1 Nb6 21.Ra7 Kd8 22.c4 Nxc4 23.Rc1 Nd6 24.Raxc7 Re7 25.R7c6 Rd7 26.Rb1 Ke7 27.Rbb6 f5 28.f3 Rd8 29.Kf2 Ne8 30.e4 Bd7 31.Rc5 fxe4 32.fxe4 Nf6 33.Kf3 Ra8 34.Rb3 Ra2 35.Rd3 Rb2 36.d5 e5 37.h3 Rf2+ 38.Kxf2 Nxe4+ 39.Ke3 Nxc5 40.Ra3 f5 41.g3 Kd6 42.Ra8 Kxd5 43.Rh8 Ne4 44.Rd8 Nf6 45.Rh8 h5 46.Ra8 Kd6 47.Rf8 Nd5+ 48.Kf2 e4 49.Rh8 Nf6 50.Ra8 Ke5 0-1')"">","o_194011","","",""
"","","","blobik","Snapdragon","0-1","","1314","1323","","","","","c_194011","2 weeks","23","time"
"","","","fredduaine","CH7","1-0","","1446","1000","","","","","l_194011","              10 min","27","resignation"
"Groningen (Netherlands)","1971.12.??","3","Dieks Roy G (NED)","Luminet Denis (BEL)","1-0","A08","2265","2236","","","","1.e4 e6 2.d3 d5 3.Nd2 c5 4.Ngf3 Nc6 5.g3 Nf6 6.Bg2 Be7 7.O-O O-O 8.Re1 b5 9.e5 Nd7 10.Nf1 a5 11.h4 Ba6 12.N1h2 b4 13.Ng4 c4 14.d4 Nb6 15.Bg5 c3 16.b3 a4 17.Qc1 axb3 18.axb3 Nd7 19.Qf4 Bb7 20.Rxa8 Bxa8 21.Bf1 f5 22.exf6 Nxf6 23.Qe3 Ne4 24.Bd3 Rxf3 25.Qxf3 Bxg5 26.hxg5 Nxd4 27.Qf4 Nxg5 28.Kf1 Ndf3 29.Ra1 d4 30.Ne5 Nxe5 31.Qxe5 Bd5 32.f4 Nf3 33.Qh5 Nd2+ 34.Kg1 Ne4 35.Ra7 g6 36.Qxh7+ 1-0')"">","o_194012","","",""
