"type","ID","pgn","color","move","piece","x","y","sq"
"livechess","1016993516","19.dxe6","white","19","pawn","e","6","e6"
"livechess","1016993516","19...dxe6","black","19","pawn","e","6","e6"
"livechess","1016993516","20.Qxa8+","white","20","Queen","a","8","a8"
"livechess","1016993516","22.Qd8#","white","22","Queen","d","8","d8"
"livechess","1017809703","5...Qxd3","black","5","Queen","d","3","d3"
"livechess","1017809703","6.cxd3","white","6","pawn","d","3","d3"
"livechess","1017809703","13...Nxa1","black","13","Knight","a","1","a1"
"livechess","1017809703","14.Nxh7","white","14","Knight","h","7","h7"
"livechess","1017809703","16.Qxh8","white","16","Queen","h","8","h8"
"livechess","1017809703","16...Bxa2","black","16","Bishop","a","2","a2"
"livechess","1017809703","17.Qxf8#","white","17","Queen","f","8","f8"
"livechess","1018589279","5...Bxc3","black","5","Bishop","c","3","c3"
"livechess","1018589279","6.Bxc3","white","6","Bishop","c","3","c3"
"livechess","1018589279","13.Bxb7","white","13","Bishop","b","7","b7"
"livechess","1018589279","13...Nxb7","black","13","Knight","b","7","b7"
"livechess","1018589279","19.Nxe4","white","19","Knight","e","4","e4"
"livechess","1018589279","19...fxe4","black","19","pawn","e","4","e4"
"livechess","1018589279","20.Qxe4","white","20","Queen","e","4","e4"
"livechess","1018589279","21.Qxe6+","white","21","Queen","e","6","e6"
"livechess","1018589279","22.cxd5","white","22","pawn","d","5","d5"
"livechess","1018589279","24.Qxc7+","white","24","Queen","c","7","c7"
"livechess","1018589279","25.Qxb7","white","25","Queen","b","7","b7"
"livechess","1018589279","27.Rxd8+","white","27","Rook","d","8","d8"
"livechess","1018589279","27...Qxd8","black","27","Queen","d","8","d8"
"livechess","1018589279","28.Qxg7","white","28","Queen","g","7","g7"
"livechess","1018589279","28...Qxd5","black","28","Queen","d","5","d5"
"livechess","1018589279","31.Qxh4","white","31","Queen","h","4","h4"
"livechess","1018589279","31...Qxa2","black","31","Queen","a","2","a2"
"livechess","1018589279","39.Qc2#","white","39","Queen","c","2","c2"
"livechess","1018624675","8...Nxd4","black","8","Knight","d","4","d4"
"livechess","1018624675","9.exd4","white","9","pawn","d","4","d4"
"livechess","1018624675","11...Bxd4+","black","11","Bishop","d","4","d4"
"livechess","1018624675","13...Nxc3","black","13","Knight","c","3","c3"
"livechess","1018624675","14...Nxb5+","black","14","Knight","b","5","b5"
"livechess","1018624675","15...Qxa3+","black","15","Queen","a","3","a3"
"livechess","1018624675","21.Kxb5","white","21","King","b","5","b5"
"livechess","1018624675","22...Qc5#","black","22","Queen","c","5","c5"
"livechess","1020851375","18.Nxb5","white","18","Knight","b","5","b5"
"livechess","1020851375","20.Nxe4","white","20","Knight","e","4","e4"
"livechess","1020851375","20...Nxe4","black","20","Knight","e","4","e4"
"livechess","1020851375","21.Qxe4","white","21","Queen","e","4","e4"
"livechess","1020851375","21...axb3","black","21","pawn","b","3","b3"
"livechess","1020851375","22.exd4","white","22","pawn","d","4","d4"
"livechess","1020851375","22...bxc2","black","22","pawn","c","2","c2"
"livechess","1020851375","23.dxc5","white","23","pawn","c","5","c5"
"livechess","1020851375","25.Qxf5","white","25","Queen","f","5","f5"
"livechess","1020851375","29...Bxb2","black","29","Bishop","b","2","b2"
"livechess","1020851375","30.Qxb2","white","30","Queen","b","2","b2"
"livechess","1020851375","30...Qxd3","black","30","Queen","d","3","d3"
"livechess","1020851375","32...Qe2#","black","32","Queen","e","2","e2"
"livechess","1021013414","5...Bxd3","black","5","Bishop","d","3","d3"
"livechess","1021013414","6.cxd3","white","6","pawn","d","3","d3"
"livechess","1021013414","8...Nxd3+","black","8","Knight","d","3","d3"
"livechess","1021013414","9...Nxc1+","black","9","Knight","c","1","c1"
"livechess","1021013414","10.Raxc1","white","10","Rook","c","1","c1"
"livechess","1021013414","14.Nxc6","white","14","Knight","c","6","c6"
"livechess","1021013414","14...bxa4","black","14","pawn","a","4","a4"
"livechess","1021013414","15.Nxd8","white","15","Knight","d","8","d8"
"livechess","1021013414","15...Bxd8","black","15","Bishop","d","8","d8"
"livechess","1021013414","16.Nxa4","white","16","Knight","a","4","a4"
"livechess","1021013414","24...Bxc5","black","24","Bishop","c","5","c5"
"livechess","1021013414","25.dxc5","white","25","pawn","c","5","c5"
"livechess","1021013414","37...Nxg4","black","37","Knight","g","4","g4"
"livechess","1021013414","39.exf6","white","39","pawn","f","6","f6"
"livechess","1021013414","39...Nxf6","black","39","Knight","f","6","f6"
"livechess","1021013414","40.Rxe6","white","40","Rook","e","6","e6"
"livechess","1021013414","43.Rxd5","white","43","Rook","d","5","d5"
"livechess","1021013414","44...Nxb5","black","44","Knight","b","5","b5"
"livechess","1021013414","45.axb5","white","45","pawn","b","5","b5"
"livechess","1021013414","45...Rxb5+","black","45","Rook","b","5","b5"
"livechess","1021013414","48...R8b5#","black","48","Rook","b","5","b5"
"livechess","1015674935","34...Qxb2#","black","34","Queen","b","2","b2"
"livechess","1015683546","24...Qxd2#","black","24","Queen","d","2","d2"
"livechess","1015687317","33...Qxg2#","black","33","Queen","g","2","g2"
"livechess","1015699549","16.Qxg7#","white","16","Queen","g","7","g7"
"livechess","1016968890","35....Bg2+","black","35","Bishop","g","2","g2"
"livechess","1016977143","28...+Ke7","black","28","King","e","7","e7"
"livechess","1016979427","30.Rf8#","white","30","Rook","f","8","f8"
"livechess","1016982587","18.Qxg7#","white","18","Queen","g","7","g7"
"livechess","1017824476","28.Rexe7#","white","28","Rook","e","7","e7"
"livechess","1018576228","16...Qxg2#","black","16","Queen","g","2","g2"
"livechess","1018600849","46.Re7#","white","46","Rook","e","7","e7"
"livechess","1018647480","32.Rxb8#","white","32","Rook","b","8","b8"
"livechess","1020347683","31.Qh8#","white","31","Queen","h","8","h8"
"livechess","1021020972","58...h1=Q#","black","58","Queen","h","1","h1"
"livechess","1021030396","41...Re2#","black","41","Rook","e","2","e2"
"livechess","1021052818","11.Qb7#","white","11","Queen","b","7","b7"
"livechess","1021058414","32...Qg2#","black","32","Queen","g","2","g2"
"livechess","1021062620","37...Qf1#","black","37","Queen","f","1","f1"
"livechess","1021076667","29.Qxh7#","white","29","Queen","h","7","h7"
"livechess","1021603063","20...Qxg2#","black","20","Queen","g","2","g2"
"livechess","1021611075","37...Qxd1#","black","37","Queen","d","1","d1"
"livechess","1021669147","51.Qe2#","white","51","Queen","e","2","e2"
"livechess","1021733166","34...Rfb2#","black","34","Rook","b","2","b2"
"livechess","1021953975","44...Rd1#","black","44","Rook","d","1","d1"
"livechess","1021961667","11.Qxg7#","white","11","Queen","g","7","g7"
"livechess","1021962703","28.Qxh7#","white","28","Queen","h","7","h7"
"livechess","1021969382","27...Qd1#","black","27","Queen","d","1","d1"
"livechess","1022023826","25...Qc2#","black","25","Queen","c","2","c2"
"livechess","1022388522","24.Rd8#","white","24","Rook","d","8","d8"
"livechess","1022419155","43...Qxf2#","black","43","Queen","f","2","f2"
"livechess","1022430519","42...g6#","black","42","pawn","g","6","g6"
"livechess","1022446348","29...Qg2#","black","29","Queen","g","2","g2"
"livechess","1022949132","33.Qxf8#","white","33","Queen","f","8","f8"
"livechess","1022955942","27...Rc2#","black","27","Rook","c","2","c2"
"livechess","1022971056","27...Qxc2#","black","27","Queen","c","2","c2"
"livechess","1022974784","23.Qf7#","white","23","Queen","f","7","f7"
"livechess","1022979978","15...Qxg2#","black","15","Queen","g","2","g2"
"livechess","1024458815","23.Qxf7#","white","23","Queen","f","7","f7"
"livechess","1024465904","37...Rc2#","black","37","Rook","c","2","c2"
"livechess","1024878418","47...g6#","black","47","pawn","g","6","g6"
"livechess","1024902135","39...Qxc3#","black","39","Queen","c","3","c3"
"livechess","1024925903","32...Qxh2#","black","32","Queen","h","2","h2"
"livechess","1027124156","66.Qd7#","white","66","Queen","d","7","d7"
"livechess","1027139026","10...Qxf1#","black","10","Queen","f","1","f1"
"livechess","1027140977","39.Qf8#","white","39","Queen","f","8","f8"
"livechess","1027743840","17...Qxf2#","black","17","Queen","f","2","f2"
"livechess","1028269101","25.Qe7#","white","25","Queen","e","7","e7"
"livechess","1028312321","70.Kxf2","white","70","King","f","2","f2"
"livechess","1028326840","26.Rh8#","white","26","Rook","h","8","h8"
"livechess","1031100692","6.Qxf7#","white","6","Queen","f","7","f7"
"livechess","1031101983","35...Qxd1#","black","35","Queen","d","1","d1"
