"type","ID","pgn","color","move","piece","x","y","sq"
"echess","103082236","31.Rxe4+","white","31","Rook","e","4","e4"
"echess","103082236","31...Kf6","black","31","King","f","6","f6"
"echess","103082236","32.Rxh5","white","32","Rook","h","5","h5"
"echess","103082236","32...Qc1+","black","32","Queen","c","1","c1"
"echess","103082236","33.Kc2","white","33","King","c","2","c2"
"echess","103082236","33...Rc2","black","33","Rook","c","2","c2"
"echess","103082236","34.Qf3+","white","34","Queen","f","3","f3"
"echess","103082236","34...Kg7","black","34","King","g","7","g7"
"echess","103082236","35.Qxg4+","white","35","Queen","g","4","g4"
"echess","103082236","35...Kf8","black","35","King","f","8","f8"
"echess","103082236","36.Rh8#","white","36","Rook","h","8","h8"
"echess","103058746","1.e3","white","1","pawn","e","3","e3"
"echess","103058746","1...e5","black","1","pawn","e","5","e5"
"echess","103058746","2.Qg4","white","2","Queen","g","4","g4"
"echess","103058746","2...Nc6","black","2","Knight","c","6","c6"
"echess","103058746","3.Nc3","white","3","Knight","c","3","c3"
"echess","103058746","3...Nf6","black","3","Knight","f","6","f6"
"echess","103058746","4.Qa4","white","4","Queen","a","4","a4"
"echess","103058746","4...d5","black","4","pawn","d","5","d5"
"echess","103058746","5.Nf3","white","5","Knight","f","3","f3"
"echess","103058746","5...Be6","black","5","Bishop","e","6","e6"
"echess","103058746","6.Nxe5","white","6","Knight","e","5","e5"
"echess","103058746","6...Qd6","black","6","Queen","d","6","d6"
"echess","103058746","7.Bb5","white","7","Bishop","b","5","b5"
"echess","103058746","7...Bd7","black","7","Bishop","d","7","d7"
"echess","103058746","8.Nxc6","white","8","Knight","c","6","c6"
"echess","103058746","8...bxc6","black","8","pawn","c","6","c6"
"echess","103058746","9.Bd3","white","9","Bishop","d","3","d3"
"echess","103058746","9...Be7","black","9","Bishop","e","7","e7"
"echess","103058746","10.Qa6","white","10","Queen","a","6","a6"
"echess","103058746","10...O-O","black","10","pawn","multiple","1|8","castle"
"echess","103058746","11.Be2","white","11","Bishop","e","2","e2"
"echess","103058746","11...c5","black","11","pawn","c","5","c5"
"echess","103058746","12.b3","white","12","pawn","b","3","b3"
"echess","103058746","12...Qxa6","black","12","Queen","a","6","a6"
"echess","103058746","13.Bxa6","white","13","Bishop","a","6","a6"
"echess","103058746","13...c6","black","13","pawn","c","6","c6"
"echess","103058746","14.Ba3","white","14","Bishop","a","3","a3"
"echess","103058746","14...Rab8","black","14","Rook","b","8","b8"
"echess","103058746","15.Na4","white","15","Knight","a","4","a4"
"echess","103058746","15...Rfe8","black","15","Rook","e","8","e8"
"echess","103058746","16.Bxc5","white","16","Bishop","c","5","c5"
"echess","103058746","16...Bxc5","black","16","Bishop","c","5","c5"
"echess","103058746","17.Nxc5","white","17","Knight","c","5","c5"
"echess","103058746","17...Be6","black","17","Bishop","e","6","e6"
"echess","103058746","18.Bb7","white","18","Bishop","b","7","b7"
"echess","103058746","18...Bf5","black","18","Bishop","f","5","f5"
"echess","103058746","19.d3","white","19","pawn","d","3","d3"
"echess","103058746","19...Nd7","black","19","Knight","d","7","d7"
"echess","103058746","20.Bxc6","white","20","Bishop","c","6","c6"
"echess","103058746","20...Nxc5","black","20","Knight","c","5","c5"
"echess","103058746","21.Bxe8","white","21","Bishop","e","8","e8"
"echess","103058746","21...Rxe8","black","21","Rook","e","8","e8"
"echess","103058746","22.b4","white","22","pawn","b","4","b4"
"echess","103058746","22...Na6","black","22","Knight","a","6","a6"
"echess","103058746","23.b5","white","23","pawn","b","5","b5"
"echess","103058746","23...Nc5","black","23","Knight","c","5","c5"
"echess","103058746","24.Ke2","white","24","King","e","2","e2"
"echess","103058746","24...d4","black","24","pawn","d","4","d4"
"echess","103058746","25.e4","white","25","pawn","e","4","e4"
"echess","103058746","25...Bg6","black","25","Bishop","g","6","g6"
"echess","103058746","26.f3","white","26","pawn","f","3","f3"
"echess","103058746","26...f5","black","26","pawn","f","5","f5"
"echess","103058746","27.a4","white","27","pawn","a","4","a4"
"echess","103058746","27...fxe4","black","27","pawn","e","4","e4"
"echess","103058746","28.dxe4","white","28","pawn","e","4","e4"
"echess","103058746","28...Rc8","black","28","Rook","c","8","c8"
"echess","103058746","29.a5","white","29","pawn","a","5","a5"
"echess","103058746","29...Ne6","black","29","Knight","e","6","e6"
"echess","103058746","30.Kd3","white","30","King","d","3","d3"
"echess","103058746","30...Rc3+","black","30","Rook","c","3","c3"
"echess","103058746","31.Kd2","white","31","King","d","2","d2"
"echess","103058746","31...Nf4","black","31","Knight","f","4","f4"
"echess","103058746","32.b6","white","32","pawn","b","6","b6"
"echess","103058746","32...axb6","black","32","pawn","b","6","b6"
"echess","103058746","33.axb6","white","33","pawn","b","6","b6"
"echess","103058746","33...Rc8","black","33","Rook","c","8","c8"
