"","Event","Site","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl","Termination","pgn"
"beta159","Live Chess","Chess.com","2015.11.25","peterlistic","thinkboolean","0-1","1191","1224","3|0","thinkboolean won by checkmate"," 1.e4 e6 2.Bc4 Qg5 3.d4 Qxg2 4.Nf3 Qxh1+ 5.Bf1 Nf6 6.e5 Ng4 7.Be3 Nxh2 8.Qe2 Nxf3+ 9.Kd1 g6 10.Nc3 Bg7 11.Ne4 Ng1 12.Qe1 Qxe4 13.Bd3 Qf3+ 14.Be2 Nxe2 15.Qxe2 Qd5 16.Kd2 Nc6 17.c4 Qe4 18.Rd1 Nxd4 19.Qd3 Nf3+ 20.Kc2 Qxe5 21.Kb1 Qxb2# 0-1 "
"beta160","Live Chess","Chess.com","2015.11.25","fcpremix88","thinkboolean","1-0","1254","1217","3|0","fcpremix88 won by checkmate"," 1.e4 e6 2.d4 Qf6 3.f4 Qg6 4.Nf3 Qxe4+ 5.Be2 Nc6 6.O-O Bb4 7.c3 Ba5 8.Nbd2 Qg6 9.Nc4 Bb6 10.Nce5 Nxe5 11.Nxe5 Qf5 12.Bd3 Qf6 13.f5 Qd8 14.fxe6 dxe6 15.Nxf7 Bxd4+ 16.cxd4 Qxd4+ 17.Kh1 g6 18.Nxh8 Qxh8 19.Qf3 Ne7 20.Qf7+ Kd8 21.Bg5 Qe8 22.Qxh7 Bd7 23.Bxg6 Qxg6 24.Bxe7+ Ke8 25.Rf8# 1-0 "
"beta161","Live Chess","Chess.com","2015.11.25","OPT1MVS","thinkboolean","0-1","1238","1226","3|0","thinkboolean won on time"," 1.e4 e6 2.d4 Qf6 3.Nc3 Nc6 4.Nf3 Bb4 5.e5 Qg6 6.Qd3 Qg4 7.h3 Qg6 8.Qxg6 hxg6 9.Bd2 Rh5 10.Be2 Bxc3 11.Bxc3 b6 12.d5 exd5 13.O-O-O Nce7 14.Nd4 Rxe5 15.f4 Re4 16.Bf3 Rxf4 17.g3 Rf6 18.Nb5 Rf5 19.Nxc7+ Kd8 20.Nxa8 Bb7 21.Bg4 Rf2 22.Bxg7 Bxa8 23.Rhe1 Rg2 24.Re3 f5 25.Bf3 Rxg3 26.Rde1 Rxh3 27.Bf6 Ke8 28.Bxe7 Nxe7 29.Rxe7+ Kd8 30.Bg2 Rg3 31.Re8+ Kc7 32.Rxa8 Rxg2 33.Rxa7+ Kc6 34.b3 d4 35.Ra8 d6 36.Rc8+ Kd5 37.Rb8 Kc5 38.Kb2 d3 39.Rc1 d2 40.Rd1 Re2 41.Kc3 d5 42.Rxd2 Re3+ 43.Rd3 Re4 44.b4+ Kd6 45.Rxb6+ Ke5 46.Rxg6 Rc4+ 47.Kd2 Ke4 48.Re3+ Kf4 49.Rd6 Rd4+ 50.Kc3 Re4 51.Rxe4+ dxe4 52.Rf6 e3 0-1 "
"162","Live Chess","Chess.com","2015.11.25","thinkboolean","combinador","1-0","1235","1249","3|0","thinkboolean won by resignation"," 1.e3 Nf6 2.Qf3 1-0 "
"beta163","Live Chess","Chess.com","2015.11.25","alex_rehoboth","thinkboolean","0-1","1227","1243","3|0","thinkboolean won by resignation"," 1.g3 e6 2.Bg2 Qg5 3.e3 Nc6 4.Ne2 Nf6 5.c4 h6 6.b3 Qe5 7.Nbc3 Bb4 8.O-O Bxc3 9.Nxc3 b6 10.Bb2 Bb7 11.Rb1 Qg5 12.Nb5 O-O-O 13.Bxc6 dxc6 14.Nxa7+ Kb8 15.Nxc6+ Bxc6 16.a4 Qf5 17.Bxf6 gxf6 18.f3 Rhg8 19.Ra1 Qh3 20.Qe2 Rg5 21.a5 Rdg8 22.g4 h5 23.Qg2 hxg4 24.Qxh3 gxh3+ 25.Kf2 Rg2+ 26.Ke1 Rxh2 27.e4 Rhg2 28.axb6 cxb6 29.b4 h2 30.Kd1 Rg1 31.Kc2 Rxf1 32.Rxf1 Rg1 33.Rxg1 hxg1=Q 0-1 "
"beta164","Live Chess","Chess.com","2015.11.25","thinkboolean","thiago1314","0-1","1233","1180","3|0","thiago1314 won on time"," 1.e3 e5 2.Qg4 d5 3.Qa4+ Bd7 4.Qb3 Bc6 5.Bb5 a6 6.Bxc6+ Nxc6 7.Qxb7 Na7 8.Qb3 Nf6 9.Nc3 Be7 10.d3 O-O 11.Bd2 e4 12.dxe4 dxe4 13.O-O-O Qb8 14.Qc4 Nb5 15.Nxe4 Nxe4 16.Qxe4 Bf6 17.c3 a5 18.Nf3 a4 19.a3 Qb6 20.Qb4 Rab8 21.Nd4 c5 22.Qxb5 Qxb5 23.Nxb5 Rxb5 24.c4 Rb3 25.Bc3 Bxc3 26.bxc3 Rxc3+ 27.Kb2 Rb3+ 28.Ka2 Rfb8 29.Rd2 Rc3 30.Rhd1 h6 31.Rd8+ Rxd8 32.Rxd8+ Kh7 33.Ra8 Rc2+ 34.Kb1 Rxf2 35.Rxa4 Rxg2 36.Ra5 Rxh2 37.Rxc5 Rh1+ 38.Kb2 Rh2+ 39.Kb3 Rh3 40.a4 Rxe3+ 41.Kb4 Re4 42.a5 Rxc4+ 43.Kxc4 f6 44.Kb5 h5 45.a6 g5 46.a7 Kg6 47.a8=Q h4 48.Qe4+ Kh5 0-1 "
"beta165","Live Chess","Chess.com","2015.11.26","srinivasubairy","thinkboolean","0-1","1265","1242","3|0","thinkboolean won on time"," 1.d3 e6 2.Nf3 Qf6 3.e4 Bd6 4.e5 Bxe5 5.Nxe5 Qxe5+ 6.Be2 Nc6 7.Nc3 Nge7 8.f4 Qf5 9.g4 Qg6 10.Nb5 Nd5 11.c4 a6 12.cxd5 axb5 13.dxc6 bxc6 14.h4 O-O 15.h5 Qf6 16.g5 Qd4 17.Qb3 Ra4 18.Qc3 Qd5 19.Rg1 d6 20.b3 Rd4 21.Bb2 e5 22.g6 b4 23.Qc2 Rxf4 24.gxh7+ Kh8 25.O-O-O Bf5 26.Qc4 Rxc4+ 27.dxc4 Qe4 28.Bd3 Qe3+ 29.Kc2 Bxd3+ 30.Rxd3 Qxg1 31.Bc1 Qf2+ 32.Rd2 Qf5+ 33.Kb2 Qxh7 34.h6 gxh6 35.Rf2 Rg8 36.a3 h5 37.axb4 h4 38.Rh2 h3 39.Bd2 Rg2 40.Rxg2 hxg2 41.Be3 Qd3 42.Ba7 Qd2+ 43.Ka3 Qd1 0-1 "
"beta166","Live Chess","Chess.com","2015.11.26","thinkboolean","srinivasubairy","1-0","1251","1256","3|0","thinkboolean won on time"," 1.e3 d6 2.Qh5 Nf6 3.Qh4 e6 4.Nc3 Be7 5.b3 Nc6 6.Qa4 a6 7.Bb5 Bd7 8.Bd3 Ne5 9.Qb4 Nxd3+ 10.cxd3 d5 11.Qxb7 a5 12.Nb5 Bd6 13.Nf3 Rb8 14.Nxd6+ cxd6 15.Qa7 O-O 16.Qd4 e5 17.Qc3 Qb6 18.O-O d4 19.exd4 exd4 20.Nxd4 Rbc8 21.Qb2 Nd5 22.Nc2 Nf4 23.Ne3 Nxd3 24.Qa3 Qd4 25.Bb2 Nxb2 26.Nf5 Bxf5 27.Qxa5 Ra8 28.Qxf5 Nd3 29.g4 Nf4 30.g5 g6 31.Qg4 Ne2+ 32.Qxe2 Rae8 33.Qf3 Re4 34.Kh1 Rfe8 35.Rg1 Rf4 36.Qg3 Qxd2 37.Rad1 Qb4 38.Rd3 Qe4+ 39.Rg2 1-0 "
"beta167","Live Chess","Chess.com","2015.11.26","srinivasubairy","thinkboolean","1/2-1/2","1256","1251","3|0","Game drawn by stalemate"," 1.d3 e6 2.Nf3 Qf6 3.e4 Nc6 4.h3 Bd6 5.g4 Be5 6.g5 Qg6 7.Nxe5 Nxe5 8.h4 h6 9.Nc3 Ne7 10.Bg2 Qh7 11.Nb5 Kd8 12.Bf4 N5g6 13.Bxc7+ Ke8 14.Bg3 Kd8 15.Bc7+ Ke8 16.Qf3 d6 17.Bxd6 Kd7 18.Bxe7 Nxe7 19.Qxf7 g6 20.Qf4 hxg5 21.Qd6+ Ke8 22.Nc7+ Kf8 23.Nxa8 gxh4 24.Qc7 h3 25.Rxh3 Qxh3 26.Bxh3 Rxh3 27.Qd8+ Kf7 28.O-O-O Rf3 29.Rf1 b6 30.Nc7 Kf6 31.Qf8+ Ke5 32.Qxf3 Bd7 33.Qf8 Kd6 34.Ne8+ Bxe8 35.Qxe8 Ke5 36.Qxe7 g5 37.Qxa7 g4 38.Qxb6 g3 39.fxg3 1/2-1/2 "
"beta168","Live Chess","Chess.com","2015.11.26","TheLongDiagonal","thinkboolean","0-1","1260","1259","3|0","thinkboolean won on time"," 1.e4 e6 2.d4 Qh4 3.Nc3 Bb4 4.Bd3 Nc6 5.Bd2 Nxd4 6.g3 Qd8 7.Na4 Bf8 8.Qg4 h6 9.O-O-O b6 10.f4 Bb7 11.Bc3 h5 12.Qh3 Nc6 13.g4 Nf6 14.gxh5 Rxh5 15.Qf3 g6 16.Ne2 Nh7 17.Ng3 Rh4 18.Rhf1 Rxh2 19.f5 Ne5 20.Bxe5 gxf5 21.exf5 Bxf3 22.Rxf3 Qg5+ 23.Kb1 Rh3 24.fxe6 fxe6 25.Rdf1 Be7 26.Bf6 Bxf6 27.Rxf6 Nxf6 28.Rxf6 Qxf6 29.Ne4 Qf4 30.a3 Rh1+ 31.Ka2 Qe5 32.Ba6 Rh2 33.Bb7 Rb8 34.Ba6 Rxc2 35.Ng3 Qxg3 36.Nc3 Rxc3 37.Bb5 Rxa3+ 38.bxa3 c6 0-1 "
"beta169","Live Chess","Chess.com","2015.11.26","thinkboolean","VincedeTT","0-1","1251","1263","3|0","VincedeTT won by resignation"," 1.e3 e5 2.Qg4 d5 3.Qa4+ Bd7 4.Qb3 Nf6 5.Qxb7 Bc6 6.Qb3 Nbd7 7.c3 Ne4 8.Qd1 Qh4 9.Nh3 Bc5 10.g3 Qf6 11.Qe2 d4 0-1 "
"beta170","Live Chess","Chess.com","2015.11.26","thinkboolean","bal_mo","1-0","1260","1278","3|0","thinkboolean won on time"," 1.e3 e6 2.Qg4 Nf6 3.Qa4 Nc6 4.b3 d6 5.Nf3 Bd7 6.Bd3 Ne5 7.Qb4 Nxf3+ 8.gxf3 Bc6 9.Nc3 Bxf3 10.Rg1 Nd5 11.Qxb7 Rb8 12.Qxa7 Nxc3 13.dxc3 Ra8 14.Qd4 e5 15.Qc4 Qf6 16.Bb2 Be7 17.Kd2 O-O 18.a4 d5 19.Qxc7 d4 20.cxd4 exd4 21.Bxd4 Qd6 22.Rxg7+ Kh8 23.Rg6+ Qxd4 24.Rg3 Bb4+ 25.c3 Bxc3+ 26.Qxc3 Qxc3+ 27.Kxc3 Bh5 28.Kb2 Bg6 29.Bc4 Rad8 30.Ka3 Rd2 31.Rf1 Rfd8 32.h4 h5 33.Rf3 R2d6 34.Bxf7 Bxf7 35.Rxf7 Kg8 36.Rf5 Rd5 37.Rg1+ Kh7 38.Rf7+ Kh6 39.Rgg7 R8d6 40.Rh7+ Kg6 41.Rfg7+ Kf6 42.Rg8 1-0 "
"beta171","Live Chess","Chess.com","2015.11.26","thinkboolean","Lalesca","1-0","1266","1187","3|0","thinkboolean won by checkmate"," 1.e3 e5 2.Qg4 Nf6 3.Qa4 Be7 4.b4 O-O 5.Bb2 d5 6.Bxe5 Nc6 7.Bxf6 Bxf6 8.c3 Bd7 9.Qc2 a6 10.Bd3 h6 11.Na3 Ne5 12.f4 Nxd3+ 13.Qxd3 c6 14.Nc2 Qc8 15.Nd4 b6 16.Ngf3 c5 17.bxc5 bxc5 18.Ne2 Qc6 19.O-O c4 20.Qc2 Rad8 21.Ne5 Bxe5 22.fxe5 Qe6 23.Nd4 Qxe5 24.Rf4 g6 25.Raf1 Kg7 26.R1f3 f6 27.Rg3 Kh7 28.Qxg6+ Kh8 29.Qg7# 1-0 "
"beta172","Live Chess","Chess.com","2015.11.26","platon5","thinkboolean","0-1","1247","1274","3|0","thinkboolean won by resignation"," 1.e4 e6 2.d3 Qf6 3.h4 b6 4.g4 Bd6 5.g5 Qe5 6.f4 Qc5 7.e5 Be7 8.Nf3 Bb7 9.Bg2 Na6 10.a4 Nb4 11.c3 Nd5 12.b4 Qc6 13.c4 Nxb4 14.a5 bxa5 15.Rxa5 a6 16.O-O Qb6+ 17.c5 Qxa5 18.d4 Qa2 19.Nc3 Qc4 20.Qd2 Rb8 21.h5 Bxf3 22.Bxf3 Nc6 23.Bxc6 dxc6 24.Kg2 Rb3 25.Rf3 Bd8 26.Kg3 Ne7 27.Qe3 Nf5+ 0-1 "
"beta173","Live Chess","Chess.com","2015.11.26","n2chess2","thinkboolean","0-1","1224","1281","3|0","thinkboolean won by resignation"," 1.d4 e6 2.e3 b6 3.Bd3 Qg5 4.f4 Qxg2 0-1 "
"beta174","Live Chess","Chess.com","2015.11.26","thinkboolean","n2chess2","0-1","1272","1233","3|0","n2chess2 won by checkmate"," 1.e3 e5 2.h3 d5 3.b3 Nc6 4.Qh5 Nf6 5.Qh4 Be7 6.Qa4 O-O 7.Bb2 Bd7 8.Qb5 Rb8 9.Qd3 e4 10.Qe2 Nb4 11.Qd1 c5 12.a3 Nc6 13.Nc3 a6 14.Nge2 d4 15.Na4 dxe3 16.dxe3 b5 17.Nac3 Qa5 18.b4 cxb4 19.axb4 Qxb4 20.Rb1 Rbd8 21.Ba1 Qa5 22.Qc1 Nb4 23.Nd4 Qc7 24.Rb3 Be6 25.Ra3 a5 26.Ncxb5 Qb8 27.Rxa5 Nfd5 28.c3 Nd3+ 29.Bxd3 exd3 30.O-O Qe5 31.Qd2 Bd7 32.Qxd3 Bxb5 33.Rxb5 Bd6 34.Nc6 Qh2# 0-1 "
"beta175","Live Chess","Chess.com","2015.11.27","rabie","thinkboolean","0-1","1265","1280","3|0","thinkboolean won on time"," 1.e4 e6 2.f4 Qf6 3.d4 Nc6 4.Nf3 Nge7 5.c3 Qg6 6.Qc2 b6 7.Bd3 Qg4 8.h3 Qh5 9.g4 Qa5 10.b4 Nxb4 11.cxb4 Qxb4+ 12.Bd2 Qd6 13.Nc3 Nc6 14.Nb5 Nxd4 15.Nxd6+ Bxd6 16.Nxd4 Bc5 17.Nb5 O-O 18.Nxc7 Rb8 19.e5 a6 20.Bxh7+ Kh8 21.Bd3 Rb7 22.Nxa6 Bd4 23.Rb1 b5 24.Bxb5 Ra7 25.Nb4 Ra5 26.Bc4 Ra3 27.Qe4 Bb6 28.Bd3 g6 29.f5 Rg8 30.h4 Ra7 31.h5 Bb7 32.hxg6+ Kg7 33.f6+ Kf8 0-1 "
"beta176","Live Chess","Chess.com","2015.11.27","thinkboolean","rabie","1-0","1288","1257","3|0","thinkboolean won on time"," 1.e3 d6 2.Qf3 g6 3.h3 Bg7 4.Nc3 Nf6 5.b3 c6 6.Bd3 Nbd7 7.Nge2 Ne5 8.Qf4 Nh5 9.Qa4 Nxd3+ 10.cxd3 O-O 11.Bb2 Bd7 12.Qb4 Rb8 13.Na4 b5 14.Nac3 a5 15.Qe4 b4 16.Na4 e5 17.d4 d5 18.Qf3 exd4 19.Nxd4 Re8 20.g4 Nf6 21.g5 Ne4 22.O-O-O Nxg5 23.Qe2 Nxh3 24.Rh2 Ng5 25.Rg1 Qc7 26.f4 Ne4 27.Rh4 c5 28.Nf3 1-0 "
"beta177","Live Chess","Chess.com","2015.11.27","darkslayer7","thinkboolean","1-0","1191","1278","3|0","darkslayer7 won by checkmate"," 1.e4 e6 2.d4 Qf6 3.Nc3 Nc6 4.Nf3 Qg6 5.Bd3 Qxg2 6.Rg1 Qh3 7.d5 Nd8 8.Rg3 Qh5 9.Be2 f6 10.dxe6 Nxe6 11.e5 fxe5 12.Qd5 Bd6 13.Nb5 g6 14.Nxd6+ cxd6 15.Qxd6 Ne7 16.Bg5 Nxg5 17.Rxg5 Qh6 18.Rxe5 Qg7 19.O-O-O b6 20.Bb5 Rb8 21.Bxd7+ Bxd7 22.Qxd7+ Kf8 23.Qc7 Nc6 24.Rd7 Qxd7 25.Qxd7 Nxe5 26.Nxe5 Kg8 27.Qf7# 1-0 "
"beta178","Live Chess","Chess.com","2015.11.27","thinkboolean","darkslayer7","0-1","1268","1201","3|0","darkslayer7 won by checkmate"," 1.e3 d5 2.Qf3 e5 3.h3 Nf6 4.b3 Bd6 5.Qg3 O-O 6.f3 e4 7.Qf2 Nh5 8.Bb2 Bg3 9.fxe4 Bxf2+ 10.Kxf2 dxe4 11.Ke1 Qg5 12.Ne2 Ng3 13.Nbc3 Nxh1 14.Nxe4 Qh4+ 15.Kd1 Qxe4 16.Nc3 Nf2+ 17.Ke2 Qh4 18.Nd5 Rd8 19.Nxc7 Ne4 20.Bd4 Nc6 21.Nxa8 Nxd4+ 22.exd4 Qf2+ 23.Kd3 Rxd4# 0-1 "
"beta179","Live Chess","Chess.com","2015.11.27","thinkboolean","rlupu","1-0","1274","1183","3|0","thinkboolean won by checkmate"," 1.e3 e5 2.Qg4 d6 3.Qa4+ Bd7 4.Qb3 Bc6 5.Bb5 Qd7 6.a4 a6 7.Bc4 Nf6 8.Nc3 g6 9.Qa2 Bg7 10.b3 O-O 11.Nf3 Bxf3 12.gxf3 Qc6 13.e4 Nh5 14.Bd5 Qb6 15.d3 c6 16.Be3 c5 17.Bc4 Nc6 18.Nd5 Qd8 19.Ke2 Qh4 20.Rag1 Nf6 21.Bg5 Qh5 22.Nxf6+ Bxf6 23.Bxf6 Rfe8 24.Qa1 Re6 25.Bxe6 fxe6 26.Rg5 Qh6 27.Qg1 Nd4+ 28.Kd2 Rf8 29.c3 Nxb3+ 30.Kc2 Na5 31.Be7 Rf7 32.Bxd6 Rxf3 33.Bxe5 Qf8 34.Bc7 Rxf2+ 35.Kc1 Nb3+ 36.Kb1 Qf3 37.Rxg6+ hxg6 38.Qxg6+ Kf8 39.Qh6+ Ke8 40.Qh8+ Kd7 41.Qd8+ Kc6 42.Qd6# 1-0 "
"beta180","Live Chess","Chess.com","2015.11.27","Jnzlegend","thinkboolean","1-0","1238","1265","3|0","Jnzlegend won by checkmate"," 1.e4 e6 2.c3 Qg5 3.d4 Qa5 4.Nf3 Nc6 5.Bd3 Nf6 6.Na3 Qh5 7.Be3 Qg6 8.Qe2 Qxg2 9.O-O-O Qg6 10.e5 Ne4 11.Nh4 Nxf2 12.Nxg6 Nxd3+ 13.Qxd3 hxg6 14.Bg5 Rh5 15.Rhg1 Rxh2 16.Rdf1 Rh5 17.Nb5 Rxg5 18.Rxg5 Kd8 19.Rxf7 Na5 20.Qxg6 c6 21.Rxf8+ Ke7 22.Qf7# 1-0 "
"beta181","Live Chess","Chess.com","2015.11.27","eduardo14021967","thinkboolean","1-0","1317","1258","3|0","eduardo14021967 won by checkmate"," 1.d4 e6 2.c4 Qh4 3.Nc3 Nf6 4.Nf3 Qh5 5.e4 Bb4 6.Be2 Nc6 7.Ne5 Qh4 8.O-O Bxc3 9.bxc3 Nxe5 10.dxe5 Nxe4 11.Qd4 c5 12.Qe3 f5 13.Bf3 h6 14.g3 Qg5 15.Bxe4 Qxe3 16.Bxe3 fxe4 17.Bxc5 b6 18.Bd6 Bb7 19.f4 Kf7 20.f5 g6 21.fxe6+ Kxe6 22.Rf6# 1-0 "
"beta182","Live Chess","Chess.com","2015.11.28","thinkboolean","saikumaro","0-1","1249","1204","3|0","saikumaro won by resignation"," 1.e3 e5 2.Qg4 d6 0-1 "
"beta183","Live Chess","Chess.com","2015.11.28","capricon25","thinkboolean","1-0","1222","1240","3|0","capricon25 won by resignation"," 1.e4 e6 2.e5 Qg5 3.d4 Qf5 4.Bd3 1-0 "
"beta184","Live Chess","Chess.com","2015.11.28","X-Math-One","thinkboolean","0-1","1195","1247","3|0","thinkboolean won on time"," 1.d4 e6 2.e3 Qg5 3.Nf3 Qa5+ 4.Bd2 Qb6 5.b4 Bxb4 6.Bxb4 Qxb4+ 7.Nbd2 Nc6 8.c4 b6 9.a3 Qb2 10.Bd3 e5 11.dxe5 Nxe5 12.Nxe5 Qxe5 13.O-O Ne7 14.Nf3 Qh5 15.Be4 c6 16.a4 O-O 17.Qd4 h6 18.Ra3 Nf5 19.Bxf5 Qxf5 20.Qe5 Qxe5 21.Nxe5 Re8 22.Nd3 f6 23.c5 bxc5 24.Nxc5 Re5 25.Rc1 d6 26.Nd3 Rd5 27.Nb4 Rc5 28.Rxc5 dxc5 29.Nd3 c4 30.Nf4 Ba6 31.Rc3 Rb8 32.g3 Rb4 33.Ne6 Rxa4 34.Nc5 Ra1+ 35.Kg2 Bb5 36.Ne4 a5 37.Nd6 a4 38.Ne4 a3 39.Nd2 a2 40.Rc2 Kf7 41.Nf1 Ke6 42.f4 Kd5 43.Nd2 Kc5 44.e4 Kd4 45.e5 fxe5 46.fxe5 Kxe5 47.Nf3+ Ke4 48.Re2+ Kd3 49.Rd2+ Ke3 0-1 "
"beta185","Live Chess","Chess.com","2015.11.28","thinkboolean","barryfed","1-0","1256","1269","3|0","thinkboolean won on time"," 1.e3 e6 2.Qg4 d5 3.h3 Nf6 4.Qa4+ Bd7 5.Qb3 b6 6.Qc3 c5 7.b3 Be7 8.Ba3 O-O 9.d3 Bc6 10.Nf3 h6 11.Be2 Qc7 12.Qb2 Nbd7 13.Nc3 Rab8 14.Nd2 Qb7 15.Bf3 Ne5 16.Ke2 Nxf3 17.gxf3 d4 18.Nce4 dxe3 19.fxe3 Nxe4 20.dxe4 Bb5+ 21.c4 Bc6 22.Rhg1 f6 23.e5 f5 24.Rg3 f4 25.Rg4 fxe3 26.Kxe3 Bg5+ 27.f4 Bxf4+ 28.Rxf4 Rxf4 29.Kxf4 Qf7+ 30.Ke3 Qf5 31.Rg1 Qxh3+ 32.Ke2 Qh2+ 33.Kd3 Qxg1 34.Kc3 Qg3+ 35.Kc2 1-0 "
"beta186","Live Chess","Chess.com","2015.11.28","barryfed","thinkboolean","0-1","1261","1264","3|0","thinkboolean won by resignation"," 1.d4 e6 2.e3 Qf6 3.c4 h6 4.Nf3 b6 5.Bd3 Nc6 6.O-O Nb4 7.a3 Nxd3 8.Qxd3 Qg6 9.Qd2 Nf6 10.Nc3 Bd6 11.b4 Bb7 12.c5 Bxf3 13.g3 Bxg3 14.fxg3 Nh5 15.Rxf3 O-O 16.Qf2 f5 17.Bd2 Nf6 18.Kh1 Qh5 19.Rg1 Ng4 20.Qg2 Rf6 21.h3 Rg6 22.Qh2 Nxh2 0-1 "
"beta187","Live Chess","Chess.com","2015.11.28","thinkboolean","barryfed","0-1","1256","1269","3|0","barryfed won by checkmate"," 1.e3 e6 2.Qf3 d5 3.h3 c5 4.Nc3 a6 5.Qg3 b5 6.Nf3 Bb7 7.Ne2 Nc6 8.b3 Nf6 9.Bb2 g6 10.Qh2 Bd6 11.g3 O-O 12.d3 Qc7 13.Bxf6 e5 14.Bh4 e4 15.Ng5 exd3 16.cxd3 c4 17.Nf4 Bxf4 18.gxf4 cxb3 19.Qg2 Nb4 20.f3 Qc3+ 21.Kf2 Qxa1 22.Kg1 b2 23.Kh2 b1=Q 24.f5 Qe5+ 25.f4 Qxf5 26.d4 Nd3 27.Bxd3 Qbxd3 28.Re1 Rac8 29.Kg3 Rc2 30.Qf3 Qd2 31.Rf1 Qe2 32.Qxe2 Rxe2 33.Rf3 Rxa2 34.Rf1 Re2 35.Rf3 b4 36.Nxh7 Kxh7 37.Bg5 b3 38.e4 dxe4 39.Rxb3 e3 40.Rxb7 Qe4 41.Re7 Qg2+ 42.Kh4 Qf2+ 43.Kg4 Qg2+ 44.Kh4 Qf2+ 45.Kg4 Qg2+ 46.Kh4 Rf2 47.Rxe3 Kg7 48.Re2 Rh8+ 49.Bh6+ Rxh6# 0-1 "
"beta188","Live Chess","Chess.com","2015.11.28","barryfed","thinkboolean","0-1","1261","1264","3|0","thinkboolean won on time"," 1.d4 e6 2.e3 Qf6 3.c4 h6 4.Nf3 b6 5.b3 Qg6 6.Bb2 Nf6 7.Nbd2 Ne4 8.Nxe4 Qxe4 9.Bd3 Qg4 10.O-O Bb7 11.h3 Qh5 12.Be2 Qg6 13.d5 f5 14.Ne5 Qg5 15.Bf3 Bd6 16.Qe2 O-O 17.Rad1 Qh4 18.Nd3 Rf6 19.Bxf6 gxf6 20.Nf4 Bxf4 21.exf4 Qxf4 22.Qe3 Qh4 23.dxe6 Bxf3 24.Qxf3 Nc6 25.exd7 Qe4 26.Qxe4 fxe4 27.Rfe1 f5 28.f3 e3 29.Rxe3 Kg7 30.a3 Kf7 31.b4 Rd8 32.b5 Nb8 33.Red3 Ke6 34.Re1+ Kf7 35.Red1 Ke6 36.Re1+ Kf7 37.Red1 Ke6 38.Re1+ Kf6 39.Red1 Ke7 40.Re1+ Kf8 41.Red1 Kf7 42.Re1 Kf6 43.Red1 Kf7 44.Re1 Kf8 45.Re8+ Kf7 46.Rxd8 Nxd7 47.R8xd7+ Kg6 48.Rxc7 Kg5 49.Rc6 Kf4 50.Kf2 h5 0-1 "
"beta189","Live Chess","Chess.com","2015.11.28","thinkboolean","barryfed","1-0","1272","1253","3|0","thinkboolean won by resignation"," 1.e3 e6 2.Qg4 d5 3.h3 Nf6 4.Qa4+ c6 5.b4 Nbd7 6.b5 Nb6 7.Qa5 Bc5 8.Bb2 O-O 9.d4 Bd6 10.bxc6 bxc6 11.Qd2 a5 12.Nc3 Nc4 13.Qc1 Nxb2 14.Qxb2 Ba6 15.Bxa6 Rxa6 16.Rb1 Ra8 17.Nf3 Qd7 18.Ke2 Rfb8 19.Qc1 Rxb1 20.Qxb1 Rb8 21.Qc1 Rb4 22.Qd2 Qb7 23.Ng5 h6 24.Nf3 Ne4 25.Qd3 Nxc3+ 26.Qxc3 Qb5+ 27.Kd2 Rc4 28.Qb3 Bb4+ 29.Kc1 a4 30.Qb2 a3 31.Qb3 Rc3 32.Qb1 Qc4 33.Ne5 Qb5 34.Rd1 f6 35.Nd3 Rc4 36.Qb3 Qa5 37.Kb1 Bc3 38.Kc1 Bb2+ 39.Kb1 Rc3 40.Qb4 Qxb4 41.Nxb4 Rc4 42.Nd3 Rc3 43.Nxb2 axb2 44.Kxb2 Rc4 45.Kb3 f5 46.a4 Kf7 47.a5 Ke7 48.a6 Kd7 49.a7 Kc7 50.a8=Q 1-0 "
"beta190","Live Chess","Chess.com","2015.11.28","barryfed","thinkboolean","0-1","1245","1280","3|0","thinkboolean won by resignation"," 1.d4 e6 2.e3 Qf6 3.Qf3 h6 4.Nd2 Ne7 5.Be2 Ng6 6.c4 Bd6 7.b3 b6 8.Bb2 c6 9.Rb1 Bb7 10.Qxf6 gxf6 11.Bf3 Na6 12.a3 O-O-O 13.Ne2 Rhg8 14.O-O Nh4 15.g3 Nxf3+ 16.Nxf3 c5 17.Ne1 h5 18.Nd3 h4 19.Ndf4 hxg3 20.fxg3 Rh8 21.d5 exd5 22.Nxd5 Rdg8 23.Bxf6 Rh6 24.Be7 Be5 25.Rxf7 Nc7 26.Nxc7 Bxc7 27.Rbf1 Bc6 28.Rf8+ Rxf8 29.Rxf8+ Kb7 30.Nf4 Rh7 31.Bg5 b5 32.Nd5 bxc4 33.bxc4 Ba5 34.Bf4 Ka6 35.Rf5 Ba4 36.Re5 Bb3 37.Re7 Rxe7 38.Nxe7 Bxc4 39.Bd6 Bb6 40.Kf2 Be6 41.Ng6 Ka5 42.Ne5 Ka4 43.Nd3 Kxa3 44.Nxc5 Kb2 45.Nxe6 dxe6 46.h4 a5 47.h5 Bd8 48.h6 Bf6 49.h7 a4 50.Kf3 a3 51.Kf4 a2 0-1 "
