"","Event","Site","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl","Termination","pgn"
"beta149","Live Chess","Chess.com","2015.02.28","thinkboolean","macbethsghost","0-1","1194","1176","5|0","macbethsghost won by checkmate"," 1.e3 d5 2.d4 Nf6 3.c4 Ne4 4.Qa4+ c6 5.c5 e6 6.Ne2 Qf6 7.f3 Ng5 8.Nf4 e5 9.Nxd5 Qd8 10.Bc4 b5 11.Bxb5 cxb5 12.Qxb5+ Bd7 13.Qb7 Bc6 14.Nc7+ Ke7 15.Nd5+ Ke6 16.Qb4 Bxd5 17.e4 Bc6 18.d5+ Bxd5 19.exd5+ Qxd5 20.Bxg5 e4 21.fxe4 Qxg5 22.Qc4+ Ke7 23.c6 Qe3+ 24.Kf1 Qf4+ 25.Ke2 Qg4+ 26.Kf2 Qf4+ 27.Ke2 Qg4+ 28.Kd3 Qxg2 29.Re1 Qf3+ 30.Kd4 Qf2+ 31.Kd5 Qxe1 32.c7 Qd1+ 33.Ke5 Qh5+ 34.Kf4 g5+ 35.Ke5 Bg7+ 36.Kd5 g4+ 37.e5 Qxe5# 0-1 "
"beta150","Live Chess","Chess.com","2015.02.28","kdrmanac","thinkboolean","1-0","1154","1185","5|0","kdrmanac won by resignation"," 1.e4 d5 2.exd5 Qxd5 3.d3 g6 4.Nf3 Nf6 5.h3 Bg7 6.c3 Be6 7.Be2 Nc6 8.O-O Ne5 9.d4 Nxf3+ 10.Bxf3 Qb5 11.Nd2 Bxh3 12.gxh3 Qg5+ 13.Bg2 Nh5 14.Qf3 Nf4 15.Nb3 Nxh3+ 16.Qxh3 Qb5 17.Nc5 Rd8 18.Nxb7 Rd7 19.Nc5 Bxd4 20.Nxd7 1-0 "
"beta151","Live Chess","Chess.com","2015.11.25","thinkboolean","anonio999","0-1","1205","1200","3|0","anonio999 won by checkmate"," 1.e3 e5 2.Qg4 d6 3.Qa4+ Bd7 4.Qb3 Bc6 5.Bb5 Qd7 6.Nc3 Nf6 7.Nf3 h6 8.a4 Be7 9.Nd5 O-O 10.Nxf6+ Bxf6 11.Bxc6 Nxc6 12.Qxb7 d5 13.Qb5 Rfb8 14.Qe2 e4 15.Nd4 Nxd4 16.exd4 Bxd4 17.c3 Bf6 18.b4 Qd6 19.Bb2 c5 20.b5 a6 21.O-O c4 22.Qe3 Bg5 23.Qd4 Bf6 24.Qe3 axb5 25.axb5 Rxa1 26.Rxa1 Rxb5 27.Ba3 Qc6 28.h3 Kh7 29.f3 Rb3 30.fxe4 dxe4 31.Bc1 Qd5 32.Qe2 e3 33.dxe3 Bxc3 34.Ra7 Bf6 35.Ba3 Rb1+ 36.Kh2 Be5+ 37.g3 Qh1# 0-1 "
"beta152","Live Chess","Chess.com","2015.11.25","anonio999","thinkboolean","0-1","1192","1213","3|0","thinkboolean won on time"," 1.d4 e6 2.e3 b6 3.a3 h6 4.c4 Qg5 5.Nc3 Nf6 6.h3 Nc6 7.Nf3 Qf5 8.Bd3 Qh5 9.O-O g5 10.Be2 Qg6 11.Ne5 Nxe5 12.dxe5 Nh7 13.Bd3 Qg7 14.Ne4 Be7 15.b4 Bb7 16.Bb2 f5 17.Ng3 Nf8 18.e4 f4 19.Ne2 g4 20.Nxf4 gxh3 21.g3 Rg8 22.Kh2 O-O-O 23.Qh5 Nh7 24.Qe2 Bg5 25.Rg1 Rdf8 26.c5 Rf7 27.cxb6 axb6 28.a4 Nf8 29.a5 Ng6 30.axb6 cxb6 31.Ba6 Bxa6 32.Qxa6+ Kd8 33.Qxb6+ Ke7 34.Qc5+ Ke8 35.Ra8+ Bd8 36.Qc7 Ke7 37.Qc5+ Ke8 38.b5 Nxf4 39.b6 Nd3 40.Qc7 Ke7 41.Ba3+ Ke8 0-1 "
"beta153","Live Chess","Chess.com","2015.11.25","thinkboolean","anonio999","1-0","1221","1184","3|0","thinkboolean won on time"," 1.e3 e5 2.Qg4 d6 3.Qa4+ Nc6 4.b4 Bd7 5.b5 Nd4 6.exd4 exd4 7.Qxd4 Bxb5 8.Bxb5+ c6 9.Qe4+ Ne7 10.Bd3 Qc7 11.Bb2 O-O-O 12.Nc3 f5 13.Qe3 Kb8 14.Nge2 d5 15.Na4 Rg8 16.Bc3 g6 17.Bd4 Nc8 18.Nc5 Bxc5 19.Bxc5 Rge8 20.Qd4 Nb6 21.Rb1 h5 22.Bxb6 axb6 23.Rb4 c5 24.Qf4 cxb4 25.Qxb4 Qc5 26.a3 Qc7 27.O-O 1-0 "
"beta154","Live Chess","Chess.com","2015.11.25","apdodger","thinkboolean","1/2-1/2","1127","1219","3|0","Game drawn - insufficient material"," 1.e4 e6 2.Nf3 Qf6 3.a3 Nc6 4.Nc3 h6 5.Bb5 b6 6.Bxc6 dxc6 7.d4 Bd7 8.O-O Qg6 9.Kh1 O-O-O 10.Re1 Be7 11.Be3 Bg5 12.Bxg5 hxg5 13.Qd2 Ne7 14.Qxg5 Rh5 15.Qxg6 Nxg6 16.g3 Rdh8 17.h4 e5 18.dxe5 Nxe5 19.Nxe5 Rxe5 20.Re3 Rh6 21.Ne2 Rf6 22.Nf4 c5 23.c4 Bc6 24.f3 g5 25.hxg5 Rxg5 26.Kg2 Rh6 27.Rh1 Rxh1 28.Kxh1 Rxg3 29.Nd5 Bxd5 30.exd5 Rg6 31.b4 cxb4 32.axb4 Rd6 33.Rd3 Kb7 34.c5 Rd8 35.c6+ Kb8 36.b5 f6 37.f4 Rg8 38.Rd4 Rg3 39.Kh2 Ra3 40.d6 cxd6 41.Rxd6 a5 42.bxa6 Rxa6 43.Rxf6 b5 44.Kg3 Kc7 45.Kf2 Rxc6 46.Rxc6+ Kxc6 47.Ke2 Kd5 48.Kd3 b4 49.Kc2 Ke4 50.Kb3 Kxf4 51.Kxb4 1/2-1/2 "
"beta155","Live Chess","Chess.com","2015.11.25","thinkboolean","apdodger","0-1","1209","1137","3|0","apdodger won by checkmate"," 1.e3 b6 2.Qf3 Nc6 3.Nc3 Bb7 4.Bd3 Nf6 5.Nge2 e6 6.a3 Rb8 7.Qf4 Bd6 8.Qa4 a5 9.b4 axb4 10.Nb5 bxa3 11.Nxa3 Ra8 12.Qb3 O-O 13.Bb2 Bxa3 14.Rxa3 d5 15.Qc3 Rxa3 16.Bxa3 Re8 17.O-O Na5 18.Bb2 c5 19.f4 c4 20.Bxh7+ Kxh7 21.Rf3 Rh8 22.Qe5 Kg8 23.Rg3 Nc6 24.Qg5 Rh7 25.Bxf6 Qf8 26.Bc3 g6 27.Kf2 b5 28.h3 b4 29.Bb2 b3 30.cxb3 cxb3 31.Nc3 Na5 32.h4 Nc4 33.Nd1 Nxb2 34.Nxb2 Qb4 35.Qd8+ Kg7 36.Ke2 Ba6+ 37.Ke1 Qa3 38.Qb6 Qxb2 39.Qxa6 Qc1+ 40.Ke2 b2 41.Qd3 b1=Q 42.Qd4+ Kg8 43.Kf2 Qf1# 0-1 "
"beta156","Live Chess","Chess.com","2015.11.25","thinkboolean","beingjackbutler","0-1","1200","1174","3|0","beingjackbutler won by resignation"," 1.e3 c5 2.Qg4 Nf6 3.Qa4 Nc6 4.b3 d5 5.Bb5 Bd7 6.Ba3 e5 7.Nf3 e4 8.Nh4 a6 9.Bxc6 Bxc6 10.Qxc6+ bxc6 11.Nc3 Ng4 12.Ke2 Qxh4 0-1 "
"beta157","Live Chess","Chess.com","2015.11.25","thinkboolean","Equator101","1-0","1208","1178","3|0","thinkboolean won by resignation"," 1.e3 b6 2.Qf3 Bb7 3.Qxb7 1-0 "
"beta158","Live Chess","Chess.com","2015.11.25","thinkboolean","peterlistic","1-0","1216","1199","3|0","thinkboolean won on time"," 1.e3 e6 2.Qg4 Nc6 3.Nc3 Nf6 4.Qa4 Bd6 5.a3 a6 6.b4 b5 7.Nxb5 Bb7 8.Nxd6+ cxd6 9.Rb1 O-O 10.Bb2 Nd5 11.f3 Ne5 12.e4 Nf6 13.f4 Bc6 14.Qb3 Ng6 15.d3 Nxf4 16.Qc3 d5 17.Qd2 Ng6 18.e5 Ne8 19.Qe3 d6 20.Nf3 dxe5 21.Nxe5 Nxe5 22.Bxe5 f6 23.Bg3 d4 24.Qf4 e5 25.Qg4 Bd7 26.Qf3 Rc8 27.Be2 Bc6 28.Qh5 Bxg2 29.Rg1 Bc6 30.Bh4 g6 31.Qg4 f5 32.Qh5 Qd6 33.Qg5 Ng7 34.Kd2 e4 35.Rg3 exd3 36.Bxd3 Be4 37.Bxe4 Ne6 38.Qh6 fxe4 39.Bf6 Qf4+ 40.Qxf4 Nxf4 41.Bxd4 Rcd8 42.Ke3 Ng2+ 43.Ke2 Nh4 44.Be5 Nf5 45.Rg4 e3 46.Rbg1 Rfe8 47.Bf4 Rd2+ 48.Ke1 Rc8 49.c4 Rxc4 50.Bxe3 Nxe3 51.Rxc4 Nxc4 52.Rg4 Ra2 53.Kd1 Rxh2 54.Rxc4 Kg7 55.Rc7+ Kh6 56.Ra7 g5 57.Rxa6+ Kh5 58.Rc6 g4 59.b5 g3 60.b6 g2 61.Rc5+ Kh4 62.Rc4+ 1-0 "
