"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination","gameId","initialSetup","lastDate","gameType","plyCount","playerColor","whiteUsername","blackUsername","analysisPgn","isCheckmate","isStalemate","analysisPublic","Event","TimeControl","EndTime","SetUp","FEN0"
"Chess.com","2009.11.05","","tonycol","jenyes","1-0","D00","1620","1586","","","","1. d4 {[%clk 0:03:00]} Nf6 {[%clk 0:03:00]} 2. Nc3 {[%clk 0:02:57]} d5 {[%clk 0:02:58]} 3. Bg5 {[%clk 0:02:54]} c6 {[%clk 0:02:56]} 4. e3 {[%clk 0:02:53]} Bf5 {[%clk 0:02:52]} 5. Bd3 {[%clk 0:02:52]} Bg6 {[%clk 0:02:49]} 6. Bxg6 {[%clk 0:02:50]} hxg6 {[%clk 0:02:48]} 7. Bxf6 {[%clk 0:02:49]} exf6 {[%clk 0:02:47]} 8. Nge2 {[%clk 0:02:48]} Nd7 {[%clk 0:02:47]} 9. a3 {[%clk 0:02:44]} f5 {[%clk 0:02:47]} 10. Nf4 {[%clk 0:02:41]} Bd6 {[%clk 0:02:47]} 11. Nd3 {[%clk 0:02:39]} Rxh2 {[%clk 0:02:44]} 12. Rxh2 {[%clk 0:02:37]} Bxh2 {[%clk 0:02:44]} 13. g3 {[%clk 0:02:37]} Qg5 {[%clk 0:02:44]} 14. Qf3 {[%clk 0:02:35]} O-O-O {[%clk 0:02:37]} 15. O-O-O {[%clk 0:02:29]} Qg4 {[%clk 0:02:30]} 16. Qxg4 {[%clk 0:02:26]} fxg4 {[%clk 0:02:31]} 17. Rh1 {[%clk 0:02:26]} Rh8 {[%clk 0:02:31]} 18. Nf4 {[%clk 0:02:23]} Nf6 {[%clk 0:02:26]} 19. b4 {[%clk 0:02:14]} Kd7 {[%clk 0:02:26]} 20. b5 {[%clk 0:02:12]} g5 {[%clk 0:02:20]} 21. bxc6+ {[%clk 0:02:10]} bxc6 {[%clk 0:02:19]} 22. Nd3 {[%clk 0:02:08]} Kd6 {[%clk 0:02:19]} 23. Nc5 {[%clk 0:02:05]} Rh3 {[%clk 0:02:18]} 24. Kd2 {[%clk 0:01:55]} Nh5 {[%clk 0:02:18]} 25. Ne2 {[%clk 0:01:52]} f5 {[%clk 0:02:12]} 26. Ng1 {[%clk 0:01:46]} Bxg1 {[%clk 0:02:10]} 27. Rxg1 {[%clk 0:01:45]} Rh2 {[%clk 0:02:08]} 28. Nd3 {[%clk 0:01:43]} Nf6 {[%clk 0:02:08]} 29. Rb1 {[%clk 0:01:40]} Ne4+ {[%clk 0:02:07]} 30. Kc1 {[%clk 0:01:27]} Rh1+ {[%clk 0:02:06]} 31. Kb2 {[%clk 0:01:26]} Rxb1+ {[%clk 0:02:03]} 32. Kxb1 {[%clk 0:01:26]} g6 {[%clk 0:01:42]} 33. Kb2 {[%clk 0:01:24]} Nc3 {[%clk 0:01:39]} 1-0","l_578043","","","resignation","578043","NULL","NULL","chess","66","NULL","tonycol","jenyes","NULL","FALSE","FALSE","NULL","Chess","180+1","PST","1","[FEN ""rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1""]"
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Podolsk (Russia)","1992.??.??","?","Moiseev Viktor (RUS)","Kulikov Oleg (RUS)","1-0","B32","2480","2375","","","X","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nb5 a6 6.Nd6+ Bxd6 7.Qxd6 Qf6 8.Qd1 Qg6 9.Nc3 d5 10.Nxd5 Qxe4+ 11.Be3 Nd4 12.Nc7+ Ke7 13.Rc1 Bg4 14.Qd3 Qxd3 15.Bxd3 Rd8 16.f4 f6 17.h3 Bh5 18.Kf2 Kd6 19.c3 Nc6 20.Bb6 exf4 21.c4 Nge7 22.Nd5 Nxd5 23.cxd5 Ne5 24.Bf5 Rde8 25.Rc3 g6 26.Be6 Rxe6 27.dxe6 Kxe6 28.Re1 Kf5 29.g4+ fxg3+ 30.Kxg3 g5 31.Bc7 Re8 32.Bxe5 fxe5 33.Rc7 Bg6 34.Rxb7 Rd8 35.Rf1+ Ke6 36.Rb6+ Ke7 37.Rxa6 Rd4 38.Rf3 e4 39.Re3 Rd3 40.Rxd3 exd3 41.Kf2 d2 42.Ra7+ Ke6 43.Ke2 Bf5 44.Kxd2 h5 45.Ra6+ Ke5 46.Ra5+ Kf4 47.Rxf5+ Kxf5 48.Ke3 1-0')"">               <img width=""40"" height=""40"" src=""https://betacssjs.chesscomfiles.com/bundles/web/images/black_400.f2b6793d.png"" alt=""Kulikov Oleg "">         <script defer src=""/bundles/app/js/image-defer.es6.ce5c6e21.js""></script>","o_578044","","","","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Podolsk (Russia)","1992.??.??","?","Moiseev Viktor (RUS)","Lobach Pavel V (RUS)","1/2-1/2","C08","2480","2309","","","X","1.e4 e6 2.d4 d5 3.Nd2 a6 4.Ngf3 c5 5.exd5 exd5 6.dxc5 Bxc5 7.Nb3 Be7 8.Be2 Bf5 9.O-O Nf6 10.Nfd4 Be4 11.Bf4 O-O 12.c3 Nbd7 13.Qd2 Rc8 14.Rad1 Nb6 15.Bd3 Nc4 16.Qe2 Re8 17.Bxe4 Nxe4 18.Bc1 Bg5 19.Qc2 Bxc1 20.Nxc1 Qb6 21.Nd3 g6 22.Nb4 Qd6 23.Nf3 Nf6 24.Rd4 1/2-1/2')"">               <img width=""40"" height=""40"" src=""https://betacssjs.chesscomfiles.com/bundles/web/images/black_400.f2b6793d.png"" alt=""Lobach Pavel V "">         <script defer src=""/bundles/app/js/image-defer.es6.ce5c6e21.js""></script>","o_578045","","","","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","",""
"Chess.com","2009.11.05","","PDolan","Xander1","0-1","A00","1255","1323","","","","1. g3 {[%clk 0:08:00]} e5 {[%clk 0:08:00]} 2. Bg2 {[%clk 0:08:00]} Nf6 {[%clk 0:07:56]} 3. Nf3 {[%clk 0:07:58]} Bc5 {[%clk 0:07:49]} 4. Nxe5 {[%clk 0:07:42]} d6 {[%clk 0:07:41]} 5. Nf3 {[%clk 0:07:35]} O-O {[%clk 0:07:35]} 6. Ng5 {[%clk 0:07:32]} Re8 {[%clk 0:07:29]} 7. d3 {[%clk 0:07:25]} Ng4 {[%clk 0:07:25]} 8. d4 {[%clk 0:07:16]} Qf6 {[%clk 0:07:13]} 9. O-O {[%clk 0:07:03]} Bxd4 {[%clk 0:07:10]} 10. Ne4 {[%clk 0:06:39]} Rxe4 {[%clk 0:06:53]} 11. e3 {[%clk 0:06:19]} Nxe3 {[%clk 0:06:24]} 12. fxe3 {[%clk 0:06:08]} Bxe3+ {[%clk 0:06:22]} 13. Bxe3 {[%clk 0:05:46]} Qe5 {[%clk 0:05:53]} 14. Bxe4 {[%clk 0:05:42]} Qxe4 {[%clk 0:05:52]} 15. Bf2 {[%clk 0:05:18]} Bh3 {[%clk 0:05:48]} 0-1","l_578045","","","resignation","578045","NULL","NULL","chess","30","NULL","PDolan","Xander1","NULL","FALSE","FALSE","NULL","Chess","480","PST","1","[FEN ""rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1""]"
