"","gameID","pgn"
"217","beta3","43.Ra8"
"218","beta3","43...h4"
"219","beta3","44.Rxa6"
"220","beta3","44...h3"
"221","beta3","45.b7"
"222","beta3","45...Ke6"
"223","beta3","46.b8=Q"
"224","beta3","46...Kd5"
"225","beta3","47.Qc8"
"226","beta3","47...c5"
"227","beta3","48.Qxf5"
"228","beta3","48...c4"
"229","beta3","49.Nb5"
"230","beta3","49...c3"
"231","beta3","50.Bd4+"
"232","beta3","50...Kc4"
"233","beta3","51.Rc6+"
"234","beta3","51...Kb4"
"235","beta3","52.Bxc3+"
"236","beta3","52...Ka4"
"237","beta3","53.Rc4#"
"238","beta4","1.Nc3"
"239","beta4","1...e6"
"240","beta4","2.d3"
"241","beta4","2...b6"
"242","beta4","3.e4"
"243","beta4","3...Bb7"
"244","beta4","4.Bf4"
"245","beta4","4...d6"
"246","beta4","5.Nb5"
"247","beta4","5...Be7"
"248","beta4","6.Qf3"
"249","beta4","6...Nf6"
"250","beta4","7.O-O-O"
"251","beta4","7...Nfd7"
"252","beta4","8.Qg4"
"253","beta4","8...g6"
"254","beta4","9.e5"
"255","beta4","9...f5"
"256","beta4","10.Qg3"
"257","beta4","10...dxe5"
"258","beta4","11.Bg5"
"259","beta4","11...Bxg5+"
"260","beta4","12.Kb1"
"261","beta4","12...a6"
"262","beta4","13.Nf3"
"263","beta4","13...Bf6"
"264","beta4","14.Nc3"
"265","beta4","14...e4"
"266","beta4","15.dxe4"
"267","beta4","15...Bxc3"
"268","beta4","16.bxc3"
"269","beta4","16...Bxe4"
"270","beta4","17.Ne5"
"271","beta4","17...Qf6"
"272","beta4","18.Nxd7"
"273","beta4","18...Nxd7"
"274","beta4","19.Qxc7"
"275","beta4","19...Rd8"
"276","beta4","20.Bxa6"
"277","beta4","20...Bxg2"
"278","beta4","21.Rhe1"
"279","beta4","21...Be4"
"280","beta4","22.Bb5"
"281","beta4","22...Qf7"
"282","beta4","23.c4"
"283","beta4","23...h5"
"284","beta4","24.c5"
"285","beta4","24...Rh7"
"286","beta4","25.c6"
"287","beta4","25...Nc5"
"288","beta4","26.Qxb6"
"289","beta4","26...Rxd1+"
"290","beta4","27.Rxd1"
"291","beta4","27...Qa7"
"292","beta4","28.c7+"
"293","beta4","28...Kf8"
"294","beta4","29.Qxa7"
"295","beta4","29...Kg7"
"296","beta4","30.Qxc5"
"297","beta4","30...Kh6"
"298","beta4","31.c8=Q"
"299","beta4","31...Bd5"
"300","beta4","32.Q5f8+"
"301","beta4","32...Rg7"
"302","beta4","33.Qh8+"
"303","beta4","33...Rh7"
"304","beta4","34.Qf6"
"305","beta4","34...h4"
"306","beta4","35.Qxh4+"
"307","beta4","35...Kg7"
"308","beta4","36.Qc7+"
"309","beta4","36...Kg8"
"310","beta4","37.Qcxh7+"
"311","beta4","37...Kf8"
"312","beta4","38.Q4e7#"
"313","beta5","1.e3"
"314","beta5","1...Nc6"
"315","beta5","2.Bd3"
"316","beta5","2...d6"
"317","beta5","3.Qe2"
"318","beta5","3...Be6"
"319","beta5","4.h3"
"320","beta5","4...Qd7"
"321","beta5","5.Nf3"
"322","beta5","5...O-O-O"
"323","beta5","6.Nd4"
"324","beta5","6...Nf6"
"325","beta5","7.b3"
"326","beta5","7...d5"
"327","beta5","8.Ba3"
"328","beta5","8...Ne4"
"329","beta5","9.Nc3"
"330","beta5","9...Nxc3"
"331","beta5","10.dxc3"
"332","beta5","10...g6"
"333","beta5","11.Nb5"
"334","beta5","11...h5"
"335","beta5","12.Bc5"
"336","beta5","12...b6"
"337","beta5","13.Bd4"
"338","beta5","13...g5"
"339","beta5","14.Bxh8"
"340","beta5","14...g4"
"341","beta5","15.h4"
"342","beta5","15...g3"
"343","beta5","16.fxg3"
"344","beta5","16...Bg4"
"345","beta5","17.Qf2"
"346","beta5","17...Ne5"
"347","beta5","18.Bxe5"
"348","beta5","18...f6"
"349","beta5","19.Bd4"
"350","beta5","19...Bh6"
"351","beta5","20.Nxa7+"
"352","beta5","20...Kb8"
"353","beta5","21.Bb5"
"354","beta5","21...Qe6"
"355","beta5","22.Nc6+"
"356","beta5","22...Kc8"
"357","beta5","23.Nxd8"
"358","beta5","23...Kxd8"
"359","beta5","24.Kd2"
"360","beta5","24...c6"
"361","beta5","25.Ba6"
"362","beta5","25...c5"
"363","beta5","26.Bxc5"
"364","beta5","26...bxc5"
"365","beta5","27.Bd3"
"366","beta5","27...c4"
"367","beta5","28.bxc4"
"368","beta5","28...dxc4"
"369","beta5","29.Be2"
"370","beta5","29...Qd5+"
"371","beta5","30.Ke1"
"372","beta5","30...Bf5"
"373","beta5","31.Bxc4"
"374","beta5","31...Qxc4"
"375","beta5","32.Qxf5"
"376","beta5","32...Qxc3+"
"377","beta5","33.Kf2"
"378","beta5","33...Qxe3+"
"379","beta5","34.Kf1"
"380","beta5","34...Qxg3"
"381","beta5","35.Rd1+"
"382","beta5","35...Ke8"
"383","beta5","36.Qd7+"
"384","beta5","36...Kf7"
"385","beta5","37.Qd5+"
"386","beta5","37...e6"
"387","beta5","38.Qxh5+"
"388","beta5","38...Kg7"
"389","beta5","39.Rd7+"
"390","beta5","39...Kf8"
"391","beta5","40.Qxh6+"
"392","beta5","40...Ke8"
"393","beta5","41.Rd3"
"394","beta5","41...Qg4"
"395","beta5","42.Rhh3"
"396","beta5","42...Qf5+"
"397","beta5","43.Rhf3"
"398","beta5","43...Qg4"
"399","beta5","44.Rxf6"
"400","beta5","44...e5"
"401","beta5","45.Qf8#"
"402","beta6","1.e4"
"403","beta6","1...e6"
"404","beta6","2.Nf3"
"405","beta6","2...b6"
"406","beta6","3.d4"
"407","beta6","3...h6"
"408","beta6","4.Bd3"
"409","beta6","4...Bb7"
"410","beta6","5.Nc3"
"411","beta6","5...Be7"
"412","beta6","6.O-O"
"413","beta6","6...Bg5"
"414","beta6","7.d5"
"415","beta6","7...exd5"
"416","beta6","8.exd5"
"417","beta6","8...f6"
"418","beta6","9.Bg6+"
"419","beta6","9...Kf8"
"420","beta6","10.d6"
"421","beta6","10...cxd6"
"422","beta6","11.Qxd6+"
"423","beta6","11...Ne7"
"424","beta6","12.Re1"
"425","beta6","12...Nbc6"
"426","beta6","13.Nd5"
"427","beta6","13...h5"
"428","beta6","14.Rxe7"
"429","beta6","14...Nxe7"
"430","beta6","15.Nxg5"
"431","beta6","15...Bxd5"
"432","beta6","16.Nh7+"
"433","beta6","16...Kg8"
"434","beta6","17.Bh6"
"435","beta6","17...Rxh7"
"436","beta6","18.Bxh7+"
"437","beta6","18...Kxh7"
"438","beta6","19.Qf4"
"439","beta6","19...Ng6"
"440","beta6","20.Qe3"
"441","beta6","20...Qe7"
"442","beta6","21.Qd2"
"443","beta6","21...Re8"
"444","beta6","22.h3"
"445","beta6","22...Qe4"
