"","a8","a7","a6","a5","a4","a3","a2","a1","b8","b7","b6","b5","b4","b3","b2","b1","c8","c7","c6","c5","c4","c3","c2","c1","d8","d7","d6","d5","d4","d3","d2","d1","e8","e7","e6","e5","e4","e3","e2","e1","f8","f7","f6","f5","f4","f3","f2","f1","g8","g7","g6","g5","g4","g3","g2","g1","h8","h7","h6","h5","h4","h3","h2","h1"
"C1600W_20.h3","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_20...d4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_21.f4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_21...Qb8","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook","black Queen","black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_22.Ne4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook","black Queen","black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_22...b5","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook","black Queen",NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_23.Qa3","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook","black Queen",NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_23...Qb7","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,"black Queen",NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_24.Nxc5","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,"black Queen",NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_24...Qg2","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,"black Queen",NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_25.Kd1","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn","white King",NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,"black Queen",NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_25...Qxh1","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn","white King",NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"black Queen"
"C1600W_26.Kc2","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,"white King",NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"black Queen"
"C1600W_26...Qxa1","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","black Queen",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,"white King",NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,NA
