"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"","","","goldiga","carlosgira","1-0","",1452,1270,NA,NA,NA,"","l_81","              15|10","52","resignation"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","B30",0,0,NA,NA,NA,"1.e4 c5 2.Nf3 Nc6 3.Bc4 e6 4.Nc3 Nf6 5.e5 d5 6.exf6 dxc4 7.fxg7 Bxg7 8.Ne4 Qd5 9.Ng3 h5 10.h4 e5 11.O-O Bg4 12.Qe2 f5 13.Qe3 Bxf3 14.Qxf3 Qxf3 15.gxf3 Nd4 16.Kg2 Nxc2 17.Rb1 Nd4 18.b3 cxb3 19.axb3 O-O-O 20.d3 Bf6 21.f4 Rhg8 22.Kh3 exf4 23.Bxf4 Rg6 24.Bg5 Bxg5 25.hxg5 Ne6 26.Nxf5 Rxd3+ 27.Ng3 Rxg5 28.b4 Rd4 29.bxc5 Rxc5 30.Rfc1 Rxc1 31.Rxc1+ Kd7 32.Kg2 0-1')"">","o_82","","",""
"","","","chrislorey45","Epic_hero","","",1120,1069,NA,NA,NA,"","c_82","12 hours","2","time"
"","","","ryde99","570fishinglakes","1-0","",1208,1209,NA,NA,NA,"","l_82","              10 min","32","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","B32",0,0,NA,NA,NA,"1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nxd4 5.Qxd4 e6 6.Bc4 Ne7 7.Nc3 Nc6 8.Qd1 Bc5 9.O-O O-O 10.Kh1 f5 11.exf5 Rxf5 12.Bd3 Rf8 13.Qh5 Rf5 14.Bxf5 exf5 15.Qxf5 d6 16.Qd5+ Kh8 17.Bg5 Qf8 18.Ne4 Nb4 19.Qb3 Bf5 20.Rae1 Bd7 21.a4 1-0')"">","o_83","","",""
"","","","vernon","verusamo","0-1","",1200,1200,NA,NA,NA,"","c_83","1 hour","23","checkmate"
"","","","benjf","kwisatch","1-0","",1076,1011,NA,NA,NA,"","l_83","              10 min","10","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","B32",0,0,NA,NA,NA,"1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nxc6 bxc6 6.Bc4 Nf6 7.Bg5 Be7 8.Qe2 d5 9.Bxf6 Bxf6 10.Bb3 O-O 11.O-O a5 12.exd5 cxd5 13.Rd1 d4 14.c4 Qb6 15.Bc2 Bb7 16.Nd2 Rae8 17.Ne4 Bd8 18.c5 Qc6 19.f3 Be7 20.Rac1 f5 21.Qc4+ Kh8 22.Ba4 Qh6 23.Bxe8 fxe4 24.c6 exf3 25.Rc2 Qe3+ 26.Kh1 Bc8 27.Bd7 f2 28.Rf1 d3 29.Rc3 Bxd7 30.cxd7 e4 31.Qc8 Bd8 32.Qc4 Qe1 33.Rc1 d2 34.Qc5 Rg8 35.Rd1 e3 36.Qc3 Qxd1 37.Rxd1 e2 0-1')"">","o_84","","",""
"","","","chrislorey45","Yanagi","0-1","",1282,1451,NA,NA,NA,"","c_84","16 minutes","2","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1/2-1/2","B32",0,0,NA,NA,NA,"1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nxc6 bxc6 6.Bc4 Nf6 7.Qe2 Be7 8.Nc3 O-O 9.Bg5 Nxe4 10.Bxe7 Nxc3 11.Qxe5 Re8 12.O-O Qxe7 13.Qxc3 d5 14.Bd3 Qd6 15.Rad1 Bd7 16.Qd4 c5 17.Qh4 g6 18.c3 Bc6 19.f4 c4 20.Bb1 Re2 21.Rf2 Rae8 22.f5 Qe5 23.Rdf1 Qe3 24.fxg6 fxg6 25.Qf6 Rxf2 26.Qxf2 Kg7 27.Qxe3 Rxe3 28.Kf2 Re5 29.Re1 Rxe1 30.Kxe1 1/2-1/2')"">","o_85","","",""
"","","","knightsr4boxing","Jaredillion","1-0","",1235,911,NA,NA,NA,"","l_85","              15|10","73","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1/2-1/2","B32",0,0,NA,NA,NA,"1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nxc6 bxc6 6.Bc4 Nf6 7.Bg5 Bc5 8.O-O h6 9.Bxf6 Qxf6 10.Nc3 a5 11.Kh1 d6 12.Qd2 g5 13.Rad1 Ke7 14.Na4 Bd4 15.Qd3 h5 16.Qb3 h4 17.f3 h3 18.g3 Bd7 19.c3 Rab8 20.Qc2 Ba7 21.Qd2 Rhg8 22.b3 Rbd8 23.Nb2 Rg7 24.Be2 Qg6 25.Nc4 Bc5 26.Nxa5 Rb8 27.b4 Bb6 28.Nc4 Qf6 29.Nxd6 Rgg8 30.Nxf7 Be6 31.Nd6 Rgd8 32.c4 Bxc4 33.Bxc4 Rxd6 34.Qxd6+ Qxd6 35.Rxd6 Kxd6 36.Rb1 Bd4 37.Bf1 Ra8 38.Bxh3 Rxa2 39.Bg2 Rb2 40.Rxb2 Bxb2 41.Bf1 Ke6 42.Kg2 Kf6 43.Kh3 Bc3 44.b5 cxb5 45.Bxb5 Bd4 46.Kg4 Be3 47.h4 gxh4 48.Kxh4 Bc5 49.Kg4 Bf2 50.f4 Bd4 51.Kf3 Bc3 52.Kg4 Bd4 53.Kh5 Bf2 54.Kg4 Bd4 55.Bd3 Be3 56.Kf3 Bd2 1/2-1/2')"">","o_86","","",""
"","","","frankjames","herewardthewake","0-1","",1316,1162,NA,NA,NA,"","l_86","              5 min","32","resignation"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C00",0,0,NA,NA,NA,"1.e4 e6 2.f4 d5 3.e5 c5 4.Nf3 Nc6 5.c3 f6 6.Na3 Nh6 7.Nc2 Nf7 8.d4 Qb6 9.Ne3 cxd4 10.cxd4 Bb4+ 11.Kf2 fxe5 12.fxe5 O-O 13.Kg3 Qc7 14.h4 Ncxe5 15.dxe5 Nxe5 16.Kh3 Nxf3 17.gxf3 d4 18.Ng4 h5 19.Nf2 Qe5 20.Bd3 Bd6 21.Ne4 Bc7 22.Kg2 Bd7 23.f4 Qf5 24.Ng5 Bc6+ 25.Kg1 Qg4+ 26.Qxg4 hxg4 27.Rh2 Bd5 28.h5 Rxf4 29.Bxf4 Bxf4 30.Ne4 Be3+ 31.Kg2 Rf8 32.Rf1 Rf5 33.Rhh1 Re5 34.Kg3 Bxe4 35.Bxe4 Rxe4 36.Rh4 e5 37.Rxg4 Bf4+ 38.Kf3 Re3+ 39.Kf2 d3 40.Rfg1 Re2+ 41.Kf3 Bh6 42.Re4 Rxb2 43.Rxe5 Rxa2 44.Kg4 d2 45.Rd5 Rc2 46.Rg3 b5 47.Rgd3 Rc1 48.Kf5 Kh7 49.Rxd2 Bxd2 50.Rxd2 a5 0-1')"">","o_87","","",""
"","","","CMathTeach13","chrislorey45","1-0","",1412,1220,NA,NA,NA,"","c_87","8 minutes","3","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C23",0,0,NA,NA,NA,"1.e4 e5 2.Bc4 Bc5 3.c3 Qe7 4.Nf3 d6 5.O-O Bb6 6.d4 Nf6 7.Na3 Bg4 8.Nc2 Nbd7 9.Qd3 d5 10.exd5 e4 11.Qd2 exf3 12.Re1 Ne4 13.Qf4 f5 14.gxf3 g5 15.Qe3 Ne5 16.Bb5+ c6 17.fxg4 Nxg4 18.Qe2 cxb5 19.f3 Ngf6 20.fxe4 Nxe4 21.Qxb5+ Qd7 22.Qxd7+ Kxd7 23.c4 Rae8 24.c5 Bd8 25.d6 f4 26.b4 Rhf8 27.Rf1 h5 28.Na3 Bf6 29.Bb2 g4 30.Nc4 f3 31.Ne5+ Bxe5 32.dxe5 h4 33.Rad1 f2+ 34.Kh1 h3 35.Rd3 Rg8 36.b5 g3 37.hxg3 Rxg3 38.Rd4 Reg8 39.e6+ Kd8 40.Rdd1 h2 41.e7+ Kd7 42.c6+ bxc6 43.bxc6+ Kxc6 44.e8Q+ Rxe8 45.Kxh2 Re6 46.Rc1+ Kb5 47.a4+ Kb4 48.Bc3+ Rxc3 49.Rxc3 Kxc3 50.d7 Rd6 51.Kg2 Rxd7 52.Rc1+ Kd3 53.Kf1 Ke3 0-1')"">","o_88","","",""
"","","","erik","travis1010","draw","",1550,1384,NA,NA,NA,"","c_88","7 days","31","draw"
"","","","zikrijadili","XXXDoomsayerXXX","1-0","",1189,851,NA,NA,NA,"","l_88","              10 min","30","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C23",0,0,NA,NA,NA,"1.e4 e5 2.Bc4 Bc5 3.b4 Bxb4 4.f4 d5 5.exd5 e4 6.Ne2 Nf6 7.O-O O-O 8.Nbc3 c6 9.dxc6 Nxc6 10.Kh1 Bg4 11.Qe1 e3 12.dxe3 Bxe2 13.Bxe2 Ne4 14.Bb2 Qa5 15.Bd3 Bxc3 16.Bxc3 Nxc3 17.Qh4 f5 18.Rf3 Ne4 19.Rh3 h6 20.Rf1 Qc5 21.Qh5 Qd6 22.g4 Rae8 23.Bc4+ Kh7 24.g5 Na5 25.gxh6 g6 26.Qe2 Nxc4 27.Qxc4 Nd2 28.Qc3 Qc6+ 29.Qxc6 bxc6 30.Rd1 Rd8 0-1')"">","o_89","","",""
"","","","erik","Kevin","1-0","",1584,1145,NA,NA,NA,"","c_89","2 days","11","time"
"","","","smilingmind","TheDoctor","0-1","",1457,1400,NA,NA,NA,"","l_89","              2|1","23","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C24",0,0,NA,NA,NA,"1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.e5 Qe7 5.Qe2 Ng8 6.Nf3 Nc6 7.c3 d6 8.cxd4 Bg4 9.Bb5 d5 10.Nc3 Qe6 11.h3 Bxf3 12.Qxf3 O-O-O 13.Bxc6 Qxc6 14.Qxf7 Bb4 15.Bd2 Ne7 16.O-O Rdf8 17.Qh5 Nf5 18.a3 Bxc3 19.Bxc3 g6 20.Qd1 h5 21.Rc1 Qe6 22.f4 h4 23.Rf3 Rfg8 24.Qe1 Kb8 25.Qd2 Rh7 26.Qd3 Rhg7 27.Bd2 a6 28.b4 Qb6 29.Bc3 Ng3 30.a4 Ne4 31.b5 g5 32.f5 g4 33.hxg4 Rxg4 34.Rc2 h3 35.Rxh3 Rg3 36.Rxg3 Rxg3 37.a5 Qh6 38.Bd2 Qh3 39.Qf1 Rg8 40.f6 Qh5 41.f7 Rf8 42.e6 Ng3 43.Qf3 Qh1+ 44.Kf2 Ne4+ 45.Ke2 Qb1 46.e7 Qxb5+ 47.Qd3 Ng3+ 48.Kd1 1-0')"">","o_90","","",""
"","","","openhaven","duplomortal","1-0","",1338,1401,NA,NA,NA,"","l_90","              5 min","57","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C33",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 d6 5.d4 Bg4 6.Qd3 Nc6 7.Bxf7+ Kxf7 8.Qb3+ Kg6 9.Qxb7 Nxd4 10.Qxa8 Nf6 11.Na3 f3 12.g3 Bh3+ 13.Ke1 Qg4 14.Be3 d5 15.Qxa7 Nc6 16.Qxc7 d4 17.Bd2 Qxe4+ 18.Kd1 f2 19.Nxh3 Qf3+ 20.Kc1 Qxh1+ 0-1')"">","o_91","","",""
"","","","eber12","gjos","0-1","",892,1574,NA,NA,NA,"","l_91","              15 min","35","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C33",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 Nc6 7.e5 Nge7 8.Nf3 Qh5 9.Ne4 h6 10.Nf6+ Bxf6 11.exf6 d5 12.Bd3 Nf5 13.Qe1+ Kd8 14.Ne5 Nfxd4 15.c3 Nxe5 16.Qxe5 Nc6 17.Qxd5+ Ke8 18.Bb5 Be6 19.Bxc6+ Kf8 20.Qc5+ Kg8 21.Bf3 Qg6 22.Qd4 c5 23.Qe5 Re8 24.Be2 f3 25.Kf2 fxe2 26.Be3 b6 27.h4 Bd7 28.Qd5 Qxf6+ 29.Kxe2 Bg4+ 30.Kd2 Rd8 0-1')"">","o_92","","",""
"","","","Lionheart5083","kyle","1-0","",1361,1039,NA,NA,NA,"","c_92","1 hour","17","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C33",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 d6 7.Be2 Nc6 8.e5 Nge7 9.Nb5 O-O 10.Nxc7 Rb8 11.Nf3 Qh6 12.exd6 Nf5 13.c3 Ng3+ 14.hxg3 Qxh1+ 15.Kf2 fxg3+ 16.Kxg3 Qxd1 17.Bxd1 h6 18.b3 b5 19.Be3 f5 20.d5 f4+ 21.Kh2 fxe3 22.dxc6 g4 23.Nd4 Be5+ 24.Kg1 Bxd6 25.Ncxb5 Bc5 26.b4 Bb6 27.Nd6 Bxd4 28.cxd4 Rxb4 29.Nxc8 Rxc8 30.d5 Kf7 31.Bb3 Ke7 32.Kf1 Re4 33.Ke2 Rf8 34.Kd3 Re5 35.Re1 Kd6 36.Rxe3 Rxe3+ 37.Kxe3 h5 38.Ke4 h4 39.Bd1 h3 40.gxh3 gxh3 41.Bf3 h2 42.Bg2 Rf1 0-1')"">","o_93","","",""
"","","","kman1958","Emorej2009","0-1","",1247,1248,NA,NA,NA,"","l_93","              10 min","29","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C33",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 d6 7.Nd5 Kd8 8.Be2 Nc6 9.e5 Nge7 10.Nc3 Nf5 11.Nf3 Qh6 12.Ne4 f6 13.exf6 Bxf6 14.g4 Nfxd4 15.Kg2 Bxg4 16.h4 Bxf3+ 17.Bxf3 Nxf3 18.Qxf3 Ne5 19.Qb3 Qg6 20.Qxb7 Rc8 21.Bd2 gxh4+ 22.Kf1 Rg8 23.Nxd6 cxd6 24.Ba5+ Ke8 25.Qxc8+ Kf7 26.Qb7+ Be7 27.Qd5+ Kf8 28.Rd1 f3 29.Rd2 h3 30.Qa8+ Kf7 31.Qd5+ Kf8 32.Qa8+ Kg7 33.Qxa7 Qg2+ 34.Rxg2+ fxg2+ 35.Kg1 Nf3+ 36.Kf2 gxh1Q 37.Qxe7+ Kh6 38.Qxd6+ Kh5 39.Qd5+ Rg5 40.Qf7+ Kg4 41.Qc4+ Nd4 42.Qxd4+ Kh5 43.Bb6 Qh2+ 44.Ke1 Re5+ 45.Kd1 Qe2+ 46.Kc1 Qe1+ 47.Qd1+ Qxd1+ 48.Kxd1 h2 0-1')"">","o_94","","",""
"","","","reyky18","brisu","0-1","",1406,1426,NA,NA,NA,"","l_94","              7|5","72","resignation"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C33",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 d6 7.Nd5 Kd8 8.Be2 Nf6 9.Nxf6 Bxf6 10.e5 Be7 11.Qd3 Nc6 12.c3 Bd7 13.g3 Qh6 14.exd6 Bxd6 15.h4 g4 16.Bd1 Qf6 17.Ke1 Qe7+ 18.Kf2 Re8 19.gxf4 Qe1+ 20.Kg2 Qe4+ 21.Qxe4 Rxe4 22.Bc2 Re8 23.Bxh7 Be6 24.Kg3 Bd5 25.Rh2 Re1 26.Ne2 Bc4 27.d5 Ne7 28.Nd4 Nxd5 29.h5 Rg1+ 30.Kf2 Rf1+ 31.Kg3 Nxf4 32.Kxg4 Kd7 33.b3 Be6+ 34.Nxe6 Nxe6 35.Re2 Rh8 36.Be4 Rg8+ 37.Kh4 Be7+ 38.Kh3 Bd6 39.h6 Rxc1 40.h7 Rxc3+ 41.Kh4 Be7+ 42.Kh5 Rh3# 0-1')"">","o_95","","",""
"","","","stretchboy","hamishmurphy","1-0","",1491,1116,NA,NA,NA,"","c_95","1 week","12","time"
"","","","hankles","sc5337","1-0","",1198,987,NA,NA,NA,"","l_95","              15|10","57","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C37",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Nc3 gxf3 6.O-O c6 7.Qxf3 Qf6 8.e5 Qxe5 9.Bxf7+ Kxf7 10.d4 Qxd4+ 11.Be3 Qg7 12.Bxf4 Nf6 13.Ne4 Be7 14.Bg5 Rg8 15.Qh5+ Qg6 16.Nd6+ Ke6 17.Rae1+ Kxd6 18.Bf4# 1-0')"">","o_96","","",""
"","","","erik","starrydagger","1-0","",1553,1139,NA,NA,NA,"","c_96","6 days","32","resignation"
"","","","Zinfandale","Juanflash","1-0","",1084,1334,NA,NA,NA,"","l_96","              10 min","25","checkmate"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C37",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Nc3 gxf3 6.Qxf3 Bh6 7.d4 Nc6 8.O-O Nxd4 9.Bxf7+ Kxf7 10.Qh5+ Kg7 11.Bxf4 Bxf4 12.Rxf4 Nf6 13.Qg5+ Kf7 14.Raf1 Ke8 15.Rxf6 Qe7 16.Nd5 Qc5 17.Kh1 Ne6 18.Rxe6+ dxe6 19.Nf6+ 1-0')"">","o_97","","",""
"","","","Lehrer","hunkfos","1-0","",1544,1065,NA,NA,NA,"","l_97","              5 min","42","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C37",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Nc3 gxf3 6.Qxf3 Qf6 7.Nd5 Qe5 8.c3 Bh6 9.d4 Qd6 10.e5 Qc6 11.Bb5 Qg6 12.Nxc7+ Kd8 13.Nxa8 Ne7 14.O-O Rg8 15.Bd3 Qg7 16.b4 Ng6 17.Bxg6 Qxg6 18.b5 d6 19.b6 a6 20.exd6 Nc6 21.d7 Bxd7 22.Nc7 Bg4 23.Qd5+ Kc8 24.Bxf4 Be6 25.Nxe6 fxe6 26.Qf3 Bxf4 27.Rae1 e5 28.Kh1 Qh6 29.Qh3+ Qxh3 30.gxh3 Bd2 31.Rd1 Bxc3 32.d5 Ne7 33.Rf7 Bb4 34.d6 Nc6 35.Rc7+ Kb8 36.Rxh7 e4 37.Rh4 e3 38.Re4 Bc5 39.d7 Rd8 40.h4 Bxb6 41.h5 Kc7 42.h6 e2 43.Rxe2 Bd4 44.h7 Kxd7 45.Rg2 Rh8 46.Rg7+ Kd6 47.Rxb7 Kc5 48.Kg2 Nd8 49.Rd7 Ne6 50.h4 Kc6 51.R7xd4 Nxd4 52.Rxd4 Rxh7 53.Kg3 Kc5 54.Rd2 a5 55.Kg4 a4 56.Rd3 Rb7 57.h5 Rb4+ 58.Kg3 Rb1 59.Rd2 Rg1+ 60.Rg2 Rh1 61.Rh2 Rg1+ 62.Kh4 Rg8 63.h6 Kb4 64.Kh5 Ka3 65.h7 Rb8 66.Kg5 Rb5+ 67.Kf4 Rb8 68.Ke4 Re8+ 69.Kd3 Rd8+ 70.Kc2 Rh8 71.Kb1 Kb4 72.Rh4+ Kc3 73.Rh3+ Kc4 74.Kb2 Kb4 75.a3+ Kc4 76.Rh4+ Kb5 77.Kc3 Rc8+ 78.Kb2 Rh8 79.Rb4+ Ka5 80.Rb7 Ka6 81.Rg7 Ka5 82.Kc3 Rc8+ 83.Kd4 Rh8 84.Rg5+ Kb6 85.Rh5 Kc6 86.Kc4 Kb6 87.Kb4 Kc6 88.Kxa4 Kb6 89.Rh6+ Kc5 90.Ka5 Ra8+ 91.Ra6 Rb8 92.a4 Rc8 93.Ra7 Rb8 94.Rc7+ Kd6 95.Rc1 Ra8+ 96.Kb5 Rb8+ 97.Ka6 Ra8+ 98.Kb7 Rh8 99.Rh1 1-0')"">","o_98","","",""
"","","","AustinBerchtold","jeecobra","0-1","",762,1216,NA,NA,NA,"","l_98","              10 min","29","resignation"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C37",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Nc3 gxf3 6.Qxf3 Nc6 7.d4 Nxd4 8.Bxf7+ Kxf7 9.Qh5+ Kg7 10.O-O Ne6 11.Bxf4 Bc5+ 12.Kh1 Nf6 13.Qh6+ Kg8 14.Rf3 Bf8 15.Rg3+ Kf7 16.Qh4 Nxf4 17.Qxf4 d6 18.Rf1 Be6 19.Qg5 Ke8 20.Rxf6 Qe7 21.Rgf3 c6 22.Ne2 Rg8 23.Qh5+ Kd8 24.Nd4 Bg4 25.Qa5+ Kc8 26.Rf1 Bd7 27.Rf7 Qe8 28.b4 b6 29.Qa6+ Kc7 30.Qc4 Be7 31.Nxc6 b5 32.Qxb5 Bxc6 33.Qa5+ Kb8 34.Qf5 Bd8 35.Re1 Qe5 36.Qf3 d5 37.b5 Bb7 38.Rxb7+ Kxb7 39.Qf7+ Bc7 0-1')"">","o_99","","",""
"","","","Scott","terminator6","0-1","",1103,1454,NA,NA,NA,"","c_99","5 days","15","time"
"","","","phallotti","SCMaharaja","0-1","",1419,1476,NA,NA,NA,"","l_99","              10 min","25","resignation"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C38",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.d4 d6 6.c3 Nc6 7.Qb3 Qe7 8.Nxg5 Qxg5 9.Bxf7+ Kf8 10.Bxg8 Rxg8 11.Bxf4 Qg6 12.Rf1 Bf6 13.Nd2 Ke8 14.O-O-O Be7 15.e5 d5 16.Qxd5 Qxg2 17.Qb3 Nd8 18.d5 c6 19.d6 Be6 20.Nc4 Bf8 21.d7+ Bxd7 22.Nd6+ Bxd6 23.exd6 Rg6 24.Bg3 Qh3 25.Qb4 Re6 26.Qd4 Nf7 27.Rf2 Qh6+ 28.Kb1 Qg6+ 29.Ka1 c5 30.Qd2 Rf6 31.Bf4 Kf8 32.Rg2 Qh5 33.Re1 Rd8 34.Qe3 Be6 35.Reg1 Ke8 36.Bg5 Rxd6 37.Qg3 Rf3 38.Qe1 Rfd3 39.Bc1 Rd1 40.Rg8+ Kd7 41.Qe4 Qd5 42.Qa4+ Qc6 43.Qxa7 Rxg1 44.Rxg1 Qa6 45.Qxa6 Rxa6 46.a3 Bb3 47.Kb1 Rf6 48.Rg2 Rf1 49.Rg3 c4 50.Rg7 Ke6 51.Rxh7 Ne5 52.Rh6+ Kd7 53.Rh7+ Kc6 54.Rh6+ Kb5 55.Rh5 Re1 56.Rg5 Ka4 57.Rg3 Nd3 58.Rxd3 cxd3 59.h4 d2 0-1')"">","o_100","","",""
"","","","maraskv","Slobe","1-0","",1467,1081,NA,NA,NA,"","l_100","              5 min","56","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C38",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.d4 d6 6.c3 h6 7.Na3 Nc6 8.Bd2 Qe7 9.O-O Bd7 10.b4 O-O-O 11.Bd3 g4 12.Ne1 f3 13.gxf3 Nf6 14.b5 Nb8 15.Nac2 Rdg8 16.Kh1 h5 17.Ne3 gxf3 18.Qxf3 Bg4 19.Qf4 Nbd7 20.Nf5 Qe6 21.Nf3 Bxf3+ 22.Qxf3 Ng4 23.a4 Bh6 24.Bxh6 Nxh6 25.a5 Nxf5 26.exf5 Qb3 27.a6 d5 28.c4 Nf6 29.axb7+ Kb8 30.c5 Ng4 31.b6 axb6 32.c6 1-0')"">","o_101","","",""
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","0-1","C51",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Be7 6.d4 d6 7.Qb3 Na5 8.Qa4+ c6 9.Bd3 b5 10.Qc2 Bf6 11.dxe5 dxe5 12.O-O Ne7 13.Ba3 O-O 14.Nbd2 Be6 15.Rad1 Qc7 16.Nb3 Nc4 17.Bc1 Rfd8 18.h3 c5 19.Nh2 Ng6 20.Ng4 Nd6 21.Be2 Be7 22.f4 exf4 23.Bxf4 Nxf4 24.Rxf4 Nc4 25.Rf3 Bxg4 26.hxg4 Ne5 27.Rh3 Rxd1+ 28.Qxd1 Rd8 29.Qf1 c4 30.Nd4 Bc5 31.Qf5 g6 32.Qf2 Qe7 33.Kh1 b4 34.Qe3 bxc3 35.Qh6 f6 36.Ne6 Qxe6 37.Qxh7+ Kf8 38.Qc7 Be7 39.Rxc3 Qb6 40.Qxb6 axb6 41.a4 Bb4 42.Rc1 c3 43.Kh2 Rd2 0-1')"">","o_102","","",""
"","","","erik","Yanagi","1-0","",1464,1315,NA,NA,NA,"","c_102","1 day","4","time"
"","","","spayyde","fade22","1-0","",1360,1000,NA,NA,NA,"","l_102","              10 min","28","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C51",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.O-O Bb6 7.d4 exd4 8.cxd4 d6 9.h3 Nf6 10.e5 dxe5 11.Ba3 Bxd4 12.Qb3 Qd7 13.Ng5 Nd8 14.Nc3 c5 15.Nxf7 Rf8 16.Nxe5 Bxe5 17.Rfe1 Nc6 18.Bxc5 Qf5 19.Nb5 Bd7 20.Nd6+ 1-0')"">","o_103","","",""
"","","","afunk3ydiabetic","KillerApp","0-1","",921,1507,NA,NA,NA,"","l_103","              2|12","42","time"
"London (England)","1834.??.??","?","MacDonnell Alexander (ENG)","De La Bourdonnais Louis C (FRA)","1-0","C51",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.O-O Bb6 7.d4 exd4 8.cxd4 d6 9.h3 h6 10.Bb2 Qe7 11.e5 dxe5 12.d5 Na5 13.Nxe5 Nf6 14.d6 cxd6 15.Bxf7+ Kd8 16.Re1 Kc7 17.Na3 a6 18.Rc1+ Bc5 19.Rxc5+ dxc5 20.Nec4 Qd8 21.Be5+ Kc6 22.Qf3+ Nd5 23.Bxd5+ Kd7 24.Qf5+ Ke7 25.Qf7# 1-0')"">","o_104","","",""
